Geo Point,Geo Shape,gares_id,nom_long,nom_so_gar,nom_su_gar,id_ref_ZdC,nom_ZdC,id_ref_ZdA,nom_ZdA,idrefliga,idrefligc,res_com,indice_lig,mode_,tertrain,terrer,termetro,tertram,terval,exploitant,idf,principal,x,y,picto ligne,nom_iv
"48.83863164530258, 2.322491748462238","{""coordinates"": [2.322491748462238, 48.83863164530258], ""type"": ""Point""}",299,Gaîté,,,73675,Gaîté,43046,Gaîté,A01546,C01383,METRO 13,13,METRO,0,0,0,0,0,RATP,1,0,650272.1512,6860055.6505,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1,Gaîté
"48.857477981594855, 2.3515775629949958","{""coordinates"": [2.351577562994996, 48.857477981594855], ""type"": ""Point""}",352,Hôtel de Ville,,,415852,Hôtel de Ville de Paris - 4ème Arrondissement,470524,Hôtel de Ville,A01534,C01371,METRO 1,1,METRO,0,0,0,0,0,RATP,1,0,652424.1554,6862133.2583,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f99937fd31b1787d79e47d20b18f71c4,Hôtel de Ville
"48.878770366653185, 2.322265213130597","{""coordinates"": [2.322265213130597, 48.878770366653185], ""type"": ""Point""}",275,Europe,,,73617,Europe,42972,Europe,A01536,C01373,METRO 3,3,METRO,0,0,0,0,0,RATP,1,0,650293.8318,6864518.863,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f78ce6bd7997c9c645e25ebdc320ff0a,Europe
"48.85017786186515, 2.3840922100556665","{""coordinates"": [2.384092210055667, 48.85017786186515], ""type"": ""Point""}",279,Faidherbe Chaligny,,,74001,Faidherbe Chaligny,42980,Faidherbe Chaligny,A01541,C01378,METRO 8,8,METRO,0,0,0,0,0,RATP,1,0,654803.4286,6861302.4488,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51,Faidherbe Chaligny
"48.84274677885832, 2.2919124133178745","{""coordinates"": [2.291912413317875, 48.84274677885832], ""type"": ""Point""}",282,Félix Faure,,,71137,Félix Faure,42984,Félix Faure,A01541,C01378,METRO 8,8,METRO,0,0,0,0,0,RATP,1,0,648031.8468,6860532.9003,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51,Félix Faure
"48.870396388290395, 2.3614002104327767","{""coordinates"": [2.361400210432777, 48.870396388290395], ""type"": ""Point""}",370,Jacques Bonsergent,,,71322,Jacques Bonsergent,43417,Jacques Bonsergent,A01538,C01375,METRO 5,5,METRO,0,0,0,0,0,RATP,1,0,653156.4609,6863563.8098,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/3c28f4bbbdd8db6a404f77a19c935273,Jacques Bonsergent
"48.87511181602157, 2.389415032035527","{""coordinates"": [2.389415032035527, 48.87511181602157], ""type"": ""Point""}",379,Jourdain,,,71868,Jourdain,43483,Jourdain,A01544,C01381,METRO 11,11,METRO,0,0,0,0,0,RATP,1,0,655215.4591,6864071.8789,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/964a06dc4dd9a4041b09c37567bd5b94,Jourdain
"48.83362878011957, 2.2435786287393293","{""coordinates"": [2.243578628739329, 48.83362878011957], ""type"": ""Point""}",513,Marcel Sembat,,,71054,Marcel Sembat,47021,Marcel Sembat,A01542,C01379,METRO 9,9,METRO,0,0,0,0,0,RATP,1,0,644474.9137,6859551.9835,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a,Marcel Sembat
"48.810129956339246, 2.3622633871273484","{""coordinates"": [2.362263387127348, 48.810129956339246], ""type"": ""Point""}",442,Le Kremlin-Bicêtre,,,70452,Le Kremlin - Bicêtre,43643,Le Kremlin - Bicêtre,A01540,C01377,METRO 7,7,METRO,0,0,0,0,0,RATP,1,0,653165.655,6856862.2879,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a,Le Kremlin-Bicêtre
"48.874971744608764, 2.3405759820437195","{""coordinates"": [2.34057598204372, 48.874971744608764], ""type"": ""Point""}",443,Le Peletier,,,478885,Le Peletier,43656,Le Peletier,A01540,C01377,METRO 7,7,METRO,0,0,0,0,0,RATP,1,0,651633.2142,6864085.1114,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a,Le Peletier
