PM10,TEMP,HUMI,Year,Gare,Date
86.29166666666667,15.2,58.0,2022,Nation RER A,2022-04-08
60.75,14.333333333333334,54.0,2022,Nation RER A,2022-04-09
85.04166666666667,15.0,39.333333333333336,2022,Nation RER A,2022-04-10
112.28571428571429,15.5,43.75,2022,Nation RER A,2022-04-11
96.08695652173913,19.0,48.0,2022,Nation RER A,2022-04-12
94.16666666666667,18.333333333333332,67.0,2022,Nation RER A,2022-04-13
79.41666666666667,17.5,62.0,2022,Nation RER A,2022-04-14
86.66666666666667,19.0,54.333333333333336,2022,Nation RER A,2022-04-15
71.5,18.0,52.0,2022,Nation RER A,2022-04-16
86.5909090909091,20.0,32.0,2022,Nation RER A,2022-04-17
90.27272727272727,18.333333333333332,27.0,2022,Nation RER A,2022-04-18
162.6,19.0,54.0,2022,Nation RER A,2022-04-19
102.83333333333333,19.0,,2022,Nation RER A,2022-04-20
119.0909090909091,18.5,,2022,Nation RER A,2022-04-21
104.25,18.666666666666668,39.0,2022,Nation RER A,2022-04-22
92.91666666666667,,50.25,2022,Nation RER A,2022-04-23
92.41666666666667,18.5,52.0,2022,Nation RER A,2022-04-24
118.375,18.0,46.0,2022,Nation RER A,2022-04-25
101.125,18.0,49.0,2022,Nation RER A,2022-04-26
95.54166666666667,18.0,,2022,Nation RER A,2022-04-27
99.79166666666667,19.0,,2022,Nation RER A,2022-04-28
101.79166666666667,20.0,45.0,2022,Nation RER A,2022-04-29
80.54166666666667,19.0,45.5,2022,Nation RER A,2022-04-30
100.08333333333333,17.0,42.666666666666664,2022,Nation RER A,2022-05-01
103.54166666666667,,42.0,2022,Nation RER A,2022-05-02
86.375,18.666666666666668,45.5,2022,Nation RER A,2022-05-03
103.75,18.666666666666668,49.8,2022,Nation RER A,2022-05-04
103.45833333333333,,56.0,2022,Nation RER A,2022-05-05
117.0,19.0,52.5,2022,Nation RER A,2022-05-06
99.91666666666667,19.5,52.333333333333336,2022,Nation RER A,2022-05-07
97.91666666666667,,59.5,2022,Nation RER A,2022-05-08
125.91666666666667,19.0,47.75,2022,Nation RER A,2022-05-09
109.66666666666667,22.0,50.666666666666664,2022,Nation RER A,2022-05-10
108.75,22.0,46.666666666666664,2022,Nation RER A,2022-05-11
108.91666666666667,21.0,50.0,2022,Nation RER A,2022-05-12
113.0909090909091,21.5,41.0,2022,Nation RER A,2022-05-13
91.25,21.0,44.0,2022,Nation RER A,2022-05-14
103.58333333333333,22.0,43.0,2022,Nation RER A,2022-05-15
120.91666666666667,22.0,61.5,2022,Nation RER A,2022-05-16
100.125,24.5,42.5,2022,Nation RER A,2022-05-17
129.58333333333334,24.5,54.0,2022,Nation RER A,2022-05-18
126.5,25.0,62.5,2022,Nation RER A,2022-05-19
137.43478260869566,,49.5,2022,Nation RER A,2022-05-20
101.5,22.75,48.5,2022,Nation RER A,2022-05-21
131.20833333333334,22.0,52.0,2022,Nation RER A,2022-05-22
135.54166666666666,22.5,60.0,2022,Nation RER A,2022-05-23
111.375,22.0,49.0,2022,Nation RER A,2022-05-24
128.79166666666666,22.0,41.0,2022,Nation RER A,2022-05-25
112.70833333333333,22.0,53.5,2022,Nation RER A,2022-05-26
129.82608695652175,21.5,,2022,Nation RER A,2022-05-27
142.625,,,2022,Nation RER A,2022-05-28
141.43478260869566,20.0,40.0,2022,Nation RER A,2022-05-29
161.91304347826087,20.666666666666668,38.0,2022,Nation RER A,2022-05-30
162.79166666666666,,,2022,Nation RER A,2022-05-31
152.83333333333334,21.8,31.0,2022,Nation RER A,2022-06-01
163.75,22.333333333333332,43.0,2022,Nation RER A,2022-06-02
197.29166666666666,22.5,57.75,2022,Nation RER A,2022-06-03
122.75,23.333333333333332,70.0,2022,Nation RER A,2022-06-04
120.34782608695652,23.0,65.5,2022,Nation RER A,2022-06-05
125.1304347826087,22.333333333333332,41.0,2022,Nation RER A,2022-06-06
164.7826086956522,23.0,53.5,2022,Nation RER A,2022-06-07
188.625,24.5,66.0,2022,Nation RER A,2022-06-08
151.66666666666666,23.0,47.6,2022,Nation RER A,2022-06-09
143.75,24.0,50.333333333333336,2022,Nation RER A,2022-06-10
125.20833333333333,25.0,49.5,2022,Nation RER A,2022-06-11
138.17391304347825,24.0,50.0,2022,Nation RER A,2022-06-12
163.91304347826087,24.0,41.2,2022,Nation RER A,2022-06-13
194.25,25.0,46.0,2022,Nation RER A,2022-06-14
153.20833333333334,24.0,43.333333333333336,2022,Nation RER A,2022-06-15
161.83333333333334,24.0,42.333333333333336,2022,Nation RER A,2022-06-16
214.3913043478261,25.0,41.0,2022,Nation RER A,2022-06-17
136.91666666666666,27.0,48.25,2022,Nation RER A,2022-06-18
127.70833333333333,25.4,,2022,Nation RER A,2022-06-19
144.9090909090909,24.5,49.5,2022,Nation RER A,2022-06-20
134.75,24.8,,2022,Nation RER A,2022-06-21
171.70833333333334,26.0,50.75,2022,Nation RER A,2022-06-22
131.58333333333334,25.8,54.5,2022,Nation RER A,2022-06-23
136.66666666666666,26.0,56.0,2022,Nation RER A,2022-06-24
134.29166666666666,24.0,50.666666666666664,2022,Nation RER A,2022-06-25
112.1304347826087,23.0,46.0,2022,Nation RER A,2022-06-26
140.08333333333334,24.666666666666668,40.5,2022,Nation RER A,2022-06-27
148.27272727272728,26.0,36.0,2022,Nation RER A,2022-06-28
147.75,26.333333333333332,36.333333333333336,2022,Nation RER A,2022-06-29
161.34782608695653,24.0,49.5,2022,Nation RER A,2022-06-30
135.95833333333334,24.5,42.5,2022,Nation RER A,2022-07-01
118.79166666666667,25.5,39.5,2022,Nation RER A,2022-07-02
123.91666666666667,25.0,43.5,2022,Nation RER A,2022-07-03
154.8181818181818,25.0,39.333333333333336,2022,Nation RER A,2022-07-04
133.41666666666666,24.5,40.666666666666664,2022,Nation RER A,2022-07-05
141.79166666666666,25.5,36.0,2022,Nation RER A,2022-07-06
130.95652173913044,24.666666666666668,51.5,2022,Nation RER A,2022-07-07
155.0952380952381,24.666666666666668,42.333333333333336,2022,Nation RER A,2022-07-08
150.875,25.0,45.666666666666664,2022,Nation RER A,2022-07-09
144.3181818181818,25.0,40.0,2022,Nation RER A,2022-07-10
186.08695652173913,25.333333333333332,43.0,2022,Nation RER A,2022-07-11
169.20833333333334,25.5,,2022,Nation RER A,2022-07-12
183.875,26.0,32.0,2022,Nation RER A,2022-07-13
135.41666666666666,26.0,38.5,2022,Nation RER A,2022-07-14
241.91304347826087,26.5,32.0,2022,Nation RER A,2022-07-15
287.75,26.5,40.0,2022,Nation RER A,2022-07-16
290.39130434782606,27.0,37.0,2022,Nation RER A,2022-07-17
313.25,27.333333333333332,32.0,2022,Nation RER A,2022-07-18
272.6666666666667,29.0,32.666666666666664,2022,Nation RER A,2022-07-19
280.75,27.4,54.666666666666664,2022,Nation RER A,2022-07-20
237.04347826086956,27.5,56.5,2022,Nation RER A,2022-07-21
269.9166666666667,26.333333333333332,56.5,2022,Nation RER A,2022-07-22
236.33333333333334,26.5,59.0,2022,Nation RER A,2022-07-23
245.47826086956522,26.666666666666668,48.5,2022,Nation RER A,2022-07-24
124.82608695652173,27.333333333333332,48.5,2022,Nation RER A,2022-07-25
112.27272727272727,26.0,47.666666666666664,2022,Nation RER A,2022-07-26
138.25,26.5,37.0,2022,Nation RER A,2022-07-27
138.125,,31.0,2022,Nation RER A,2022-07-28
141.375,27.0,34.5,2022,Nation RER A,2022-07-29
104.33333333333333,26.25,40.5,2022,Nation RER A,2022-07-30
111.63636363636364,26.0,47.25,2022,Nation RER A,2022-07-31
114.04545454545455,28.0,50.666666666666664,2022,Nation RER A,2022-08-01
84.72727272727273,,43.0,2022,Nation RER A,2022-08-02
117.36363636363636,27.5,40.333333333333336,2022,Nation RER A,2022-08-03
127.41666666666667,27.666666666666668,49.0,2022,Nation RER A,2022-08-04
112.04761904761905,27.0,41.75,2022,Nation RER A,2022-08-05
103.34782608695652,26.0,25.0,2022,Nation RER A,2022-08-06
110.70833333333333,26.0,30.666666666666668,2022,Nation RER A,2022-08-07
114.04166666666667,26.2,36.0,2022,Nation RER A,2022-08-08
114.25,27.5,38.2,2022,Nation RER A,2022-08-09
112.08695652173913,28.0,37.5,2022,Nation RER A,2022-08-10
103.04545454545455,,,2022,Nation RER A,2022-08-11
101.70833333333333,28.2,32.0,2022,Nation RER A,2022-08-12
108.30434782608695,29.0,26.75,2022,Nation RER A,2022-08-13
119.1304347826087,29.0,32.0,2022,Nation RER A,2022-08-14
87.30434782608695,,52.0,2022,Nation RER A,2022-08-15
109.34782608695652,27.0,50.0,2022,Nation RER A,2022-08-16
204.79166666666666,27.0,58.0,2022,Nation RER A,2022-08-17
165.52380952380952,26.666666666666668,,2022,Nation RER A,2022-08-18
127.22727272727273,27.333333333333332,52.0,2022,Nation RER A,2022-08-19
80.8695652173913,26.0,47.0,2022,Nation RER A,2022-08-20
92.68181818181819,26.5,44.0,2022,Nation RER A,2022-08-21
127.04545454545455,,44.333333333333336,2022,Nation RER A,2022-08-22
129.4090909090909,27.25,50.0,2022,Nation RER A,2022-08-23
90.30434782608695,29.0,46.0,2022,Nation RER A,2022-08-24
95.30434782608695,,42.25,2022,Nation RER A,2022-08-25
84.08695652173913,28.0,41.0,2022,Nation RER A,2022-08-26
92.28571428571429,26.666666666666668,36.0,2022,Nation RER A,2022-08-27
88.625,27.0,41.5,2022,Nation RER A,2022-08-28
115.63636363636364,28.0,39.0,2022,Nation RER A,2022-08-29
96.95652173913044,27.0,40.5,2022,Nation RER A,2022-08-30
85.27272727272727,27.333333333333332,40.875,2022,Nation RER A,2022-08-31
157.25,27.0,46.0,2022,Nation RER A,2022-09-01
,27.4,44.333333333333336,2022,Nation RER A,2022-09-02
,26.6,53.666666666666664,2022,Nation RER A,2022-09-03
,27.0,47.5,2022,Nation RER A,2022-09-04
147.22222222222223,27.666666666666668,47.0,2022,Nation RER A,2022-09-05
122.83333333333333,,,2022,Nation RER A,2022-09-06
117.79166666666667,27.0,51.0,2022,Nation RER A,2022-09-07
117.81818181818181,26.2,50.75,2022,Nation RER A,2022-09-08
113.75,25.75,48.4,2022,Nation RER A,2022-09-09
87.33333333333333,25.0,51.5,2022,Nation RER A,2022-09-10
106.04166666666667,25.5,53.0,2022,Nation RER A,2022-09-11
163.75,25.0,50.333333333333336,2022,Nation RER A,2022-09-12
143.75,27.25,48.0,2022,Nation RER A,2022-09-13
122.375,28.0,56.5,2022,Nation RER A,2022-09-14
139.91666666666666,27.0,51.0,2022,Nation RER A,2022-09-15
121.16666666666667,26.0,32.0,2022,Nation RER A,2022-09-16
119.5,24.5,,2022,Nation RER A,2022-09-17
110.66666666666667,25.0,34.0,2022,Nation RER A,2022-09-18
105.83333333333333,25.0,,2022,Nation RER A,2022-09-19
111.54166666666667,23.0,36.0,2022,Nation RER A,2022-09-20
104.29166666666667,24.0,41.5,2022,Nation RER A,2022-09-21
117.04166666666667,23.666666666666668,36.0,2022,Nation RER A,2022-09-22
149.91666666666666,23.8,35.5,2022,Nation RER A,2022-09-23
137.83333333333334,24.0,49.5,2022,Nation RER A,2022-09-24
154.625,23.75,41.0,2022,Nation RER A,2022-09-25
157.34782608695653,23.6,42.25,2022,Nation RER A,2022-09-26
166.70833333333334,22.0,,2022,Nation RER A,2022-09-27
63.904761904761905,21.5,52.0,2022,Nation RER A,2022-09-28
85.18181818181819,21.0,45.666666666666664,2022,Nation RER A,2022-09-29
77.79166666666667,21.333333333333332,,2022,Nation RER A,2022-09-30
57.38095238095238,22.5,42.0,2022,Nation RER A,2022-10-01
44.166666666666664,23.0,57.0,2022,Nation RER A,2022-10-02
63.95238095238095,21.5,54.333333333333336,2022,Nation RER A,2022-10-03
74.43478260869566,23.0,50.0,2022,Nation RER A,2022-10-04
76.63636363636364,21.0,53.5,2022,Nation RER A,2022-10-05
66.5909090909091,22.0,38.0,2022,Nation RER A,2022-10-06
73.45833333333333,21.0,39.0,2022,Nation RER A,2022-10-07
60.0,22.0,37.0,2022,Nation RER A,2022-10-08
55.0,21.0,37.666666666666664,2022,Nation RER A,2022-10-09
82.45833333333333,22.25,51.5,2022,Nation RER A,2022-10-10
84.5,23.0,42.0,2022,Nation RER A,2022-10-11
84.30434782608695,23.0,,2022,Nation RER A,2022-10-12
68.125,22.0,51.5,2022,Nation RER A,2022-10-13
69.54545454545455,22.25,61.5,2022,Nation RER A,2022-10-14
52.25,22.666666666666668,69.0,2022,Nation RER A,2022-10-15
60.18181818181818,22.0,60.5,2022,Nation RER A,2022-10-16
76.08695652173913,23.0,64.25,2022,Nation RER A,2022-10-17
62.65217391304348,22.666666666666668,68.0,2022,Nation RER A,2022-10-18
81.6086956521739,22.666666666666668,61.666666666666664,2022,Nation RER A,2022-10-19
69.45833333333333,24.0,62.0,2022,Nation RER A,2022-10-20
75.75,23.0,54.666666666666664,2022,Nation RER A,2022-10-21
61.76190476190476,22.75,55.0,2022,Nation RER A,2022-10-22
62.81818181818182,24.0,58.0,2022,Nation RER A,2022-10-23
61.17391304347826,23.0,53.5,2022,Nation RER A,2022-10-24
73.04545454545455,22.0,53.5,2022,Nation RER A,2022-10-25
66.76190476190476,22.75,54.0,2022,Nation RER A,2022-10-26
75.04545454545455,24.0,54.0,2022,Nation RER A,2022-10-27
109.21739130434783,24.0,56.0,2022,Nation RER A,2022-10-28
85.54166666666667,23.0,,2022,Nation RER A,2022-10-29
73.79166666666667,23.0,50.666666666666664,2022,Nation RER A,2022-10-30
76.75,22.75,55.0,2022,Nation RER A,2022-10-31
53.125,22.0,45.0,2022,Nation RER A,2022-11-01
79.04166666666667,21.333333333333332,50.0,2022,Nation RER A,2022-11-02
73.29166666666667,21.2,47.25,2022,Nation RER A,2022-11-03
56.25,20.0,45.333333333333336,2022,Nation RER A,2022-11-04
65.0,,,2022,Nation RER A,2022-11-05
,,,2022,Nation RER A,2022-11-06
,,,2022,Nation RER A,2022-11-07
,21.0,,2022,Nation RER A,2022-11-08
,21.0,51.5,2022,Nation RER A,2022-11-09
70.85714285714286,19.0,50.6,2022,Nation RER A,2022-11-10
44.708333333333336,19.0,51.0,2022,Nation RER A,2022-11-11
66.83333333333333,19.0,,2022,Nation RER A,2022-11-12
70.91666666666667,19.0,51.0,2022,Nation RER A,2022-11-13
81.08333333333333,18.666666666666668,,2022,Nation RER A,2022-11-14
71.04545454545455,,60.0,2022,Nation RER A,2022-11-15
67.26086956521739,18.0,57.333333333333336,2022,Nation RER A,2022-11-16
61.291666666666664,18.5,51.0,2022,Nation RER A,2022-11-17
71.83333333333333,19.0,48.0,2022,Nation RER A,2022-11-18
62.75,18.666666666666668,46.0,2022,Nation RER A,2022-11-19
65.95652173913044,17.5,49.0,2022,Nation RER A,2022-11-20
63.625,18.0,51.833333333333336,2022,Nation RER A,2022-11-21
71.56521739130434,17.75,45.5,2022,Nation RER A,2022-11-22
70.29166666666667,17.6,52.0,2022,Nation RER A,2022-11-23
74.33333333333333,18.25,51.333333333333336,2022,Nation RER A,2022-11-24
73.33333333333333,18.0,53.0,2022,Nation RER A,2022-11-25
72.75,17.5,51.6,2022,Nation RER A,2022-11-26
49.391304347826086,16.0,49.0,2022,Nation RER A,2022-11-27
61.791666666666664,,53.5,2022,Nation RER A,2022-11-28
88.08333333333333,17.25,48.5,2022,Nation RER A,2022-11-29
65.75,,49.0,2022,Nation RER A,2022-11-30
68.08333333333333,16.5,45.0,2022,Nation RER A,2022-12-01
75.625,16.333333333333332,47.0,2022,Nation RER A,2022-12-02
77.5,15.0,41.666666666666664,2022,Nation RER A,2022-12-03
72.08333333333333,15.0,41.75,2022,Nation RER A,2022-12-04
70.125,,45.0,2022,Nation RER A,2022-12-05
63.625,14.5,47.0,2022,Nation RER A,2022-12-06
68.04166666666667,15.0,47.25,2022,Nation RER A,2022-12-07
75.66666666666667,15.0,43.0,2022,Nation RER A,2022-12-08
80.04166666666667,14.0,42.25,2022,Nation RER A,2022-12-09
59.458333333333336,14.166666666666666,41.0,2022,Nation RER A,2022-12-10
55.95238095238095,12.0,37.0,2022,Nation RER A,2022-12-11
80.375,13.0,39.4,2022,Nation RER A,2022-12-12
