Rang,Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement,Année
6,Métro,BIBLIOTHEQUE,10002396,14,,,,,Paris,13,2020
11,Métro,CHATELET,6030558,1,4,7,11,14,Paris,1,2020
15,Métro,PORTE DE CLIGNANCOURT,4902116,4,,,,,Paris,18,2020
16,Métro,NATION,4860619,1,2,6,9,,Paris,12,2020
22,Métro,FRANKLIN D. ROOSEVELT,4691237,1,9,,,,Paris,8,2020
26,Métro,STRASBOURG SAINT DENIS,4275630,4,8,9,,,Paris,2,2020
31,Métro,LA CHAPELLE,3825879,2,,,,,Paris,9,2020
33,Métro,CHATILLON MONTROUGE,3738453,13,,,,,Chatillon,0,2020
40,Métro,BARBES ROCHECHOUART,3530780,2,4,,,,Paris,18,2020
41,Métro,OPERA,3519216,3,7,8,,,Paris,9,2020
45,Métro,SAINT PAUL,3357660,1,,,,,Paris,4,2020
53,Métro,CHARLES DE GAULLE ETOILE,3152200,1,2,6,,,Paris,8,2020
60,Métro,CROIX DE CHAVAUX,2839164,9,,,,,Montreuil,0,2020
65,Métro,CRIMEE,2688758,7,,,,,Paris,19,2020
68,Métro,GABRIEL PERI,2667469,13,,,,,Asnières,0,2020
73,Métro,PASTEUR,2625552,6,12,,,,Paris,9,2020
74,Métro,MIROMESNIL,2618473,9,13,,,,Paris,8,2020
75,Métro,CONCORDE,2617251,1,8,12,,,Paris,8,2020
76,Métro,BASILIQUE DE SAINT DENIS,2616421,13,,,,,Saint Denis,0,2020
79,Métro,PLAISANCE,2590236,13,,,,,Paris,14,2020
86,Métro,OBERKAMPF,2462989,5,9,,,,Paris,11,2020
95,Métro,MAIRIE DE SAINT OUEN,2373142,13,14,,,,Saint Ouen,0,2020
97,Métro,PORTE DE PANTIN,2336476,5,,,,,Paris,19,2020
115,Métro,LAUMIERE,2107812,5,,,,,Paris,19,2020
118,Métro,OURCQ,2064168,5,,,,,Paris,19,2020
119,Métro,PORTE DE SAINT OUEN,2060676,13,,,,,Paris,17,2020
120,Métro,PORTE DES LILAS,2021179,3bis,11,,,,Paris,20,2020
125,Métro,CRETEIL UNIVERSITE,1935234,8,,,,,Créteil,0,2020
130,Métro,ARTS ET METIERS,1844332,3,11,,,,Paris,3,2020
131,Métro,DUPLEIX,1839499,6,,,,,Paris,15,2020
136,Métro,JULES JOFFRIN,1806947,12,,,,,Paris,18,2020
137,Métro,MAIRIE D'IVRY,1800848,7,,,,,Ivry,0,2020
142,Métro,LES GOBELINS,1733427,7,,,,,Paris,13,2020
145,Métro,VAUGIRARD,1709593,12,,,,,Paris,15,2020
147,Métro,RUE DE LA POMPE,1700312,9,,,,,Paris,16,2020
152,Métro,BLANCHE,1680852,2,,,,,Paris,9,2020
154,Métro,ANATOLE FRANCE,1668656,3,,,,,Levallois Perret,0,2020
159,Métro,COMMERCE,1616379,8,,,,,Paris,15,2020
161,Métro,SENTIER,1601006,3,,,,,Paris,3,2020
162,Métro,BOULOGNE PONT DE SAINT CLOUD,1588193,10,,,,,Boulogne Billancourt,0,2020
172,Métro,MARX DORMOY,1544166,12,,,,,Paris,18,2020
177,Métro,LA FOURCHE,1499508,13,,,,,Paris,8,2020
180,Métro,PORTE D'ITALIE,1458709,7,,,,,Paris,13,2020
