Rang,Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement,Année
18,Métro,STRASBOURG SAINT DENIS,9967686,4,8,9,,,Paris,2,2014
10,Métro,BASTILLE,13590937,1,5,8,,,Paris,12,2014
5,Métro,GARE DE L'EST,20284835,4,5,7,,,Paris,10,2014
44,Métro,PORTE D'ORLEANS,6848088,4,,,,,Paris,14,2014
27,Métro,PORTE DE CLIGNANCOURT,8663554,4,,,,,Paris,18,2014
59,Métro,CHATILLON MONTROUGE,6109396,13,,,,,Chatillon,0,2014
45,Métro,PONT DE NEUILLY,6823045,1,,,,,Neuilly Sur Seine,0,2014
37,Métro,CONCORDE,7102855,1,8,12,,,Paris,8,2014
69,Métro,LES SABLONS,5500065,1,,,,,Neuilly Sur Seine,0,2014
104,Métro,MENILMONTANT,4472755,2,,,,,Paris,11,2014
46,Métro,CRIMEE,6800500,7,,,,,Paris,19,2014
71,Métro,SEVRES BABYLONE,5387363,10,12,,,,Paris,7,2014
106,Métro,SAINT GERMAIN DES PRES,4443897,4,,,,,Paris,6,2014
81,Métro,CROIX DE CHAVAUX,5198911,9,,,,,Montreuil,0,2014
107,Métro,RAMBUTEAU,4429945,11,,,,,Paris,3,2014
108,Métro,MAIRIE D'ISSY,4413172,12,,,,,Issy Les Moulineaux,0,2014
156,Métro,PYRENEES,3404189,11,,,,,Paris,20,2014
114,Métro,BLANCHE,4278243,2,,,,,Paris,9,2014
113,Métro,BALARD,4287048,8,,,,,Paris,15,2014
176,Métro,CHEVALERET,3055302,6,,,,,Paris,13,2014
117,Métro,JUSSIEU,4174050,7,10,,,,Paris,5,2014
120,Métro,PORTE DE CLICHY,4094794,13,,,,,Paris,17,2014
204,Métro,JAVEL ANDRE CITROEN,2654991,10,,,,,Paris,15,2014
125,Métro,VAUGIRARD,3850737,12,,,,,Paris,15,2014
164,Métro,GARIBALDI,3197736,13,,,,,Saint Ouen,0,2014
209,Métro,MALESHERBES,2601913,3,,,,,Paris,17,2014
159,Métro,DUPLEIX,3347548,6,,,,,Paris,15,2014
205,Métro,DUGOMMIER,2640369,6,,,,,Paris,12,2014
222,Métro,CRETEIL L'ECHAT,2465183,8,,,,,Créteil,0,2014
169,Métro,CORENTIN CARIOU,3115884,7,,,,,Paris,19,2014
206,Métro,LIBERTE,2635279,8,,,,,Charenton,0,2014
254,Métro,AVRON,1916547,2,,,,,Paris,11,2014
171,Métro,BOUCICAUT,3106974,8,,,,,Paris,15,2014
217,Métro,SAINT SULPICE,2532665,4,,,,,Paris,6,2014
282,Métro,PIERRE CURIE,1406411,7,,,,,Ivry,0,2014
179,Métro,COURONNES,3006923,2,,,,,Paris,11,2014
289,Métro,KLEBER,1203757,6,,,,,Paris,16,2014
199,Métro,LA FOURCHE,2816140,13,,,,,Paris,8,2014
297,Métro,CHARDON LAGACHE,639607,10,,,,,Paris,16,2014
225,Métro,PORTE D'ITALIE,2432555,7,,,,,Paris,13,2014
1,Métro,GARE DU NORD,51316194,4,5,,,,Paris,10,2014
303,Métro,EGLISE D'AUTEUIL,179058,10,,,,,Paris,16,2014
272,Métro,CARDINAL LEMOINE,1713765,10,,,,,Paris,5,2014
4,Métro,MONTPARNASSE BIENVENUE,31553833,4,6,12,13,,Paris,14,2014
274,Métro,MONCEAU,1662955,2,,,,,Paris,17,2014
65,Métro,REUILLY DIDEROT,5808594,1,8,,,,Paris,12,2014
277,Métro,EUROPE,1585380,3,,,,,Paris,8,2014
76,Métro,PORTE DE SAINT CLOUD,5291193,9,,,,,Paris,16,2014
6,Métro,REPUBLIQUE,18224965,3,5,8,9,11,Paris,11,2014
287,Métro,RENNES,1272544,12,,,,,Paris,6,2014
178,Métro,SAINT DENIS PORTE DE PARIS,3041907,13,,,,,Saint Denis,0,2014
7,Métro,LES HALLES,17991605,4,,,,,Paris,1,2014
192,Métro,PORTE DAUPHINE,2894665,2,,,,,Paris,16,2014
36,Métro,MAIRIE DE CLICHY,7129195,13,,,,,Clichy,0,2014
196,Métro,BERAULT,2858413,1,,,,,Vincennes,0,2014
55,Métro,GEORGE V,6273359,1,,,,,Paris,8,2014
207,Métro,NATIONALE,2614523,6,,,,,Paris,13,2014
85,Métro,PONT DE LEVALLOIS BECON,5033694,3,,,,,Levallois Perret,0,2014
230,Métro,RANELAGH,2383384,9,,,,,Paris,16,2014
126,Métro,ALEXANDRE DUMAS,3846473,2,,,,,Paris,11,2014
96,Métro,MAIRIE DES LILAS,4681803,11,,,,,Les Lilas,0,2014
231,Métro,CITE,2326158,4,,,,,Paris,4,2014
181,Métro,COMMERCE,2996497,8,,,,,Paris,15,2014
102,Métro,COLONEL FABIEN,4575858,2,,,,,Paris,10,2014
268,Métro,SAINT FRANCOIS XAVIER,1797081,13,,,,,Paris,7,2014
189,Métro,PORTE DE LA CHAPELLE,2939078,12,,,,,Paris,18,2014
109,Métro,PORTE DE VANVES,4410283,13,,,,,Paris,14,2014
247,Métro,MAISON BLANCHE,2043760,7,,,,,Paris,13,2014
115,Métro,ALMA MARCEAU,4272042,9,,,,,Paris,8,2014
255,Métro,PORTE DE CHARENTON,1902697,8,,,,,Paris,12,2014
118,Métro,LES COURTILLES,4126878,13,,,,,Asnières sur Seine,0,2014
8,Métro,BIBLIOTHEQUE,15840239,14,,,,,Paris,13,2014
262,Métro,QUATRE SEPTEMBRE,1850860,3,,,,,Paris,2,2014
158,Métro,QUAI DE LA GARE,3366405,6,,,,,Paris,13,2014
29,Métro,HAVRE CAUMARTIN,7661183,3,9,,,,Paris,9,2014
275,Métro,LIEGE,1659751,13,,,,,Paris,8,2014
185,Métro,PLACE MONGE,2973319,7,,,,,Paris,6,2014
48,Métro,SAINT PAUL,6591103,1,,,,,Paris,4,2014
294,Métro,VANEAU,959858,10,,,,,Paris,7,2014
224,Métro,BOBIGNY PANTIN RAYMOND QUENEAU,2438115,5,,,,,Pantin,0,2014
57,Métro,GALLIENI,6196476,3,,,,,Bagnolet,0,2014
300,Métro,BUTTES CHAUMONT,492601,7bis,,,,,Paris,19,2014
252,Métro,SEVRES LECOURBE,1992343,6,,,,,Paris,15,2014
94,Métro,PEREIRE,4711045,3,,,,,Paris,17,2014
257,Métro,MABILLON,1892987,10,,,,,Paris,6,2014
97,Métro,CRETEIL PREFECTURE,4674246,8,,,,,Créteil,0,2014
23,Métro,BARBES ROCHECHOUART,9178399,2,4,,,,Paris,18,2014
276,Métro,CHATEAU LANDON,1629996,7,,,,,Paris,10,2014
136,Métro,FORT D'AUBERVILLIERS,3694272,7,,,,,Aubervilliers,0,2014
40,Métro,OLYMPIADES,7000540,14,,,,,Paris,13,2014
183,Métro,CARREFOUR PLEYEL,2987091,13,,,,,Saint Denis,0,2014
42,Métro,MADELEINE,6889442,8,12,14,,,Paris,8,2014
232,Métro,VAVIN,2308243,4,,,,,Paris,14,2014
49,Métro,MAIRIE DE MONTREUIL,6517125,9,,,,,Montreuil,0,2014
292,Métro,BOTZARIS,996326,7bis,,,,,Paris,19,2014
79,Métro,VOLTAIRE,5217446,9,,,,,Paris,11,2014
39,Métro,STALINGRAD,7089762,2,5,7,,,Paris,19,2014
299,Métro,BOLIVAR,581422,7bis,,,,,Paris,19,2014
110,Métro,ROBESPIERRE,4394418,9,,,,,Montreuil,0,2014
78,Métro,SAINT DENIS UNIVERSITE,5261145,13,,,,,Saint Denis,0,2014
139,Métro,LES GOBELINS,3603185,7,,,,,Paris,13,2014
88,Métro,CHAMPS ELYSEES CLEMENCEAU,4910801,1,13,,,,Paris,8,2014
163,Métro,ECOLE VETERINAIRE DE MAISONS ALFORT,3234540,8,,,,,Maisons  Alfort,0,2014
100,Métro,GUY MOQUET,4602495,13,,,,,Paris,17,2014
2,Métro,SAINT LAZARE,44936936,3,9,12,13,14,Paris,8,2014
180,Métro,NOTRE DAME DE LORETTE,3002608,12,,,,,Paris,9,2014
111,Métro,LE KREMLIN BICETRE,4360175,7,,,,,Kremlin Bicêtre,0,2014
28,Métro,LA MOTTE PICQUET GRENELLE,8248998,6,8,10,,,Paris,15,2014
243,Métro,BREGUET SABIN,2085448,5,,,,,Paris,11,2014
130,Métro,MAIRIE DE SAINT OUEN,3819193,13,,,,,Saint Ouen,0,2014
67,Métro,LA COURNEUVE 8 MAI 1945,5665476,7,,,,,La Courneuve,0,2014
260,Métro,PHILIPPE AUGUSTE,1883838,2,,,,,Paris,11,2014
151,Métro,JOURDAIN,3474999,11,,,,,Paris,20,2014
73,Métro,BERCY,5359847,6,14,,,,Paris,12,2014
266,Métro,RASPAIL,1819535,4,6,,,,Paris,14,2014
154,Métro,CORENTIN CELTON,3447242,12,,,,,Issy Les Moulineaux,0,2014
74,Métro,MAIRIE DE MONTROUGE,5346471,4,,,,,Montrouge,0,2014
193,Métro,ROME,2892744,2,,,,,Paris,17,2014
77,Métro,GABRIEL PERI,5278348,13,,,,,Asnières,0,2014
9,Métro,LA DEFENSE,14367265,1,,,,,Puteaux,0,2014
208,Métro,VOLONTAIRES,2610342,12,,,,,Paris,15,2014
124,Métro,VICTOR HUGO,3870906,2,,,,,Paris,16,2014
52,Métro,MARCADET POISSONNIERS,6388263,4,12,,,,Paris,18,2014
214,Métro,VILLEJUIF LEO LAGRANGE,2545252,7,,,,,Villejuif,0,2014
127,Métro,ARTS ET METIERS,3836852,3,11,,,,Paris,3,2014
60,Métro,SAINT MANDE TOURELLE,6069483,1,,,,,Saint Mandé,0,2014
226,Métro,LOURMEL,2424840,8,,,,,Paris,15,2014
150,Métro,SENTIER,3484652,3,,,,,Paris,3,2014
61,Métro,ODEON,6059691,4,10,,,,Paris,6,2014
284,Métro,PICPUS,1346859,6,,,,,Paris,12,2014
174,Métro,PORTE DE CHOISY,3088532,7,,,,,Paris,13,2014
75,Métro,REAUMUR SEBASTOPOL,5326171,3,4,,,,Paris,3,2014
21,Métro,NATION,9333662,1,2,6,9,,Paris,12,2014
200,Métro,MARAICHERS,2807675,9,,,,,Paris,20,2014
101,Métro,LAUMIERE,4582224,5,,,,,Paris,19,2014
26,Métro,SAINT MICHEL,8695006,4,,,,,Paris,5,2014
251,Métro,RICHARD LENOIR,1999612,5,,,,,Paris,11,2014
129,Métro,LEDRU ROLLIN,3830872,8,,,,,Paris,12,2014
30,Métro,CHAUSSEE D'ANTIN LA FAYETTE,7612896,7,9,,,,Paris,9,2014
285,Métro,SAINT GEORGES,1286815,12,,,,,Paris,9,2014
134,Métro,MALAKOFF PLATEAU DE VANVES,3735305,13,,,,,Malakoff,0,2014
34,Métro,GAMBETTA,7365448,3,3bis,,,,Paris,20,2014
295,Métro,SAINT FARGEAU,823762,3bis,,,,,Paris,8,2014
165,Métro,PLACE DES FETES,3180164,7bis,11,,,,Paris,19,2014
51,Métro,PORTE DE VINCENNES,6398167,1,,,,,Paris,12,2014
