Rang,Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement,Année
71,Métro,CHATEAU DE VINCENNES,5426141,1,,,,,Vincennes,0,2015
81,Métro,RICHELIEU DROUOT,5101192,8,9,,,,Paris,9,2015
106,Métro,ROBESPIERRE,4421143,9,,,,,Montreuil,0,2015
107,Métro,JULES JOFFRIN,4409922,12,,,,,Paris,18,2015
142,Métro,ALEXANDRE DUMAS,3666961,2,,,,,Paris,11,2015
224,Métro,PORTE D'ITALIE,2360419,7,,,,,Paris,13,2015
247,Métro,LOUVRE,2050455,1,,,,,Paris,1,2015
268,Métro,FILLES DU CALVAIRE,1749843,8,,,,,Paris,3,2015
39,Métro,MADELEINE,6940577,8,12,14,,,Paris,8,2015
51,Métro,JAURES,6475842,2,5,7bis,,,Paris,19,2015
66,Métro,COUR SAINT EMILION,5781997,14,,,,,Paris,12,2015
134,Métro,VAUGIRARD,3740275,12,,,,,Paris,15,2015
237,Métro,BEL AIR,2176466,6,,,,,Paris,12,2015
269,Métro,SAINT FRANCOIS XAVIER,1743488,13,,,,,Paris,7,2015
280,Métro,SULLY MORLAND,1472158,7,,,,,Paris,4,2015
75,Métro,SEVRES BABYLONE,5237966,10,12,,,,Paris,7,2015
111,Métro,DENFERT ROCHEREAU,4277194,4,6,,,,Paris,14,2015
163,Métro,SAINT PLACIDE,3251968,4,,,,,Paris,6,2015
209,Métro,PARMENTIER,2570537,3,,,,,Paris,11,2015
212,Métro,VOLONTAIRES,2442576,12,,,,,Paris,15,2015
241,Métro,LA TOUR MAUBOURG,2107616,8,,,,,Paris,7,2015
270,Métro,LIEGE,1676715,13,,,,,Paris,8,2015
289,Métro,SAINT GEORGES,1229469,12,,,,,Paris,9,2015
18,Métro,PALAIS ROYAL,10060631,1,7,,,,Paris,1,2015
19,Métro,STRASBOURG SAINT DENIS,9917647,4,8,9,,,Paris,2,2015
96,Métro,PONT DE SEVRES,4707039,9,,,,,Boulogne Billancourt,0,2015
179,Métro,MAIRIE D'IVRY,3003702,7,,,,,Ivry,0,2015
16,Métro,BELLEVILLE,11464280,2,11,,,,Paris,10,2015
21,Métro,PLACE CLICHY,9186051,2,13,,,,Paris,17,2015
24,Métro,NATION,8939092,1,2,6,9,,Paris,12,2015
49,Métro,PORTE DE VINCENNES,6604200,1,,,,,Paris,12,2015
95,Métro,CHAMPS ELYSEES CLEMENCEAU,4714927,1,13,,,,Paris,8,2015
97,Métro,PORTE DE MONTREUIL,4671043,9,,,,,Paris,20,2015
141,Métro,TERNES,3667504,2,,,,,Paris,17,2015
235,Métro,SAINT MARCEL,2205398,5,,,,,Paris,13,2015
244,Métro,CORVISART,2074560,6,,,,,Paris,13,2015
116,Métro,JUSSIEU,4162809,7,10,,,,Paris,5,2015
140,Métro,MARX DORMOY,3676216,12,,,,,Paris,18,2015
165,Métro,CORENTIN CARIOU,3235983,7,,,,,Paris,19,2015
208,Métro,VILLEJUIF LEO LAGRANGE,2574945,7,,,,,Villejuif,0,2015
281,Métro,AVENUE EMILE ZOLA,1470809,10,,,,,Paris,15,2015
285,Métro,KLEBER,1266145,6,,,,,Paris,16,2015
290,Métro,QUAI DE LA RAPEE,1186493,5,,,,,Paris,12,2015
302,Métro,PRE SAINT GERVAIS,353892,7bis,,,,,Paris,19,2015
26,Métro,TROCADERO,8895309,6,9,,,,Paris,16,2015
30,Métro,LA MOTTE PICQUET GRENELLE,7972850,6,8,10,,,Paris,15,2015
37,Métro,CHATILLON MONTROUGE,7124158,13,,,,,Chatillon,0,2015
46,Métro,STALINGRAD,6629154,2,5,7,,,Paris,19,2015
87,Métro,REAUMUR SEBASTOPOL,4935953,3,4,,,,Paris,3,2015
127,Métro,DUPLEIX,3852225,6,,,,,Paris,15,2015
166,Métro,SAINT MAUR,3230397,3,,,,,Paris,11,2015
225,Métro,RUE DU BAC,2346931,12,,,,,Paris,7,2015
263,Métro,MABILLON,1794086,10,,,,,Paris,6,2015
284,Métro,PICPUS,1321636,6,,,,,Paris,12,2015
62,Métro,PIGALLE,5890360,2,12,,,,Paris,18,2015
138,Métro,PORTE DES LILAS,3695614,3bis,11,,,,Paris,20,2015
8,Métro,BIBLIOTHEQUE,16433305,14,,,,,Paris,13,2015
42,Métro,PONT DE NEUILLY,6786803,1,,,,,Neuilly Sur Seine,0,2015
65,Métro,MARCEL SEMBAT,5783355,9,,,,,Boulogne Billancourt,0,2015
82,Métro,GLACIERE,5083429,6,,,,,Paris,13,2015
186,Métro,BERAULT,2965952,1,,,,,Vincennes,0,2015
3,Métro,GARE DE LYON,35926081,1,14,A,,,Paris,12,2015
218,Métro,LOURMEL,2412341,8,,,,,Paris,15,2015
10,Métro,BASTILLE,13438906,1,5,8,,,Paris,12,2015
220,Métro,LOUIS BLANC,2395333,7,7bis,,,,Paris,10,2015
86,Métro,SAINT DENIS UNIVERSITE,4969367,13,,,,,Saint Denis,0,2015
254,Métro,AVRON,1958808,2,,,,,Paris,11,2015
150,Métro,DUROC,3509587,10,13,,,,Paris,7,2015
296,Métro,PORTE D'AUTEUIL,671481,10,,,,,Paris,16,2015
243,Métro,MICHEL ANGE MOLITOR,2101155,9,10,,,,Paris,16,2015
261,Métro,FELIX FAURE,1810078,8,,,,,Paris,15,2015
