Rang,Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement,Année
155,Métro,JOURDAIN,3418774,11,,,,,Paris,20,2015
271,Métro,CHATEAU LANDON,1663800,7,,,,,Paris,10,2015
175,Métro,CHARENTON ECOLES,3078684,8,,,,,Charenton,0,2015
288,Métro,TEMPLE,1239969,3,,,,,Paris,2,2015
233,Métro,VILLEJUIF PAUL VAILLANT COUTURIER,2246780,7,,,,,Villejuif,0,2015
292,Métro,BOTZARIS,976263,7bis,,,,,Paris,19,2015
260,Métro,MALAKOFF RUE ETIENNE DOLET,1832499,13,,,,,Malakoff,0,2015
1,Métro,GARE DU NORD,50793797,4,5,,,,Paris,10,2015
73,Métro,BERCY,5352928,6,14,,,,Paris,12,2015
69,Métro,LA COURNEUVE 8 MAI 1945,5662148,7,,,,,La Courneuve,0,2015
185,Métro,ARGENTINE,2972019,1,,,,,Paris,17,2015
118,Métro,LA MUETTE,4050143,9,,,,,Paris,16,2015
206,Métro,JACQUES BONSERGENT,2591769,5,,,,,Paris,10,2015
129,Métro,LEDRU ROLLIN,3820123,8,,,,,Paris,12,2015
252,Métro,NOTRE DAME DES CHAMPS,2016157,12,,,,,Paris,6,2015
154,Métro,BROCHANT,3434660,13,,,,,Paris,17,2015
264,Métro,SAINT SEBASTIEN FROISSART,1785413,8,,,,,Paris,3,2015
161,Métro,GARIBALDI,3341274,13,,,,,Saint Ouen,0,2015
274,Métro,SEGUR,1635557,10,,,,,Paris,15,2015
15,Métro,FRANKLIN D. ROOSEVELT,11571562,1,9,,,,Paris,8,2015
31,Métro,HAVRE CAUMARTIN,7506005,3,9,,,,Paris,9,2015
35,Métro,MAIRIE DE CLICHY,7138355,13,,,,,Clichy,0,2015
102,Métro,ECOLE MILITAIRE,4565508,8,,,,,Paris,7,2015
137,Métro,PORTE DE LA VILLETTE,3712707,7,,,,,Paris,19,2015
172,Métro,BOULOGNE PONT DE SAINT CLOUD,3081186,10,,,,,Boulogne Billancourt,0,2015
231,Métro,VAVIN,2275955,4,,,,,Paris,14,2015
2,Métro,SAINT LAZARE,45309544,3,9,12,13,14,Paris,8,2015
239,Métro,MAISONS ALFORT LES JUILLIOTTES,2124343,8,,,,,Maisons  Alfort,0,2015
53,Métro,ANVERS,6432199,2,,,,,Paris,18,2015
272,Métro,MONCEAU,1662064,2,,,,,Paris,17,2015
80,Métro,PORTE DE PANTIN,5103076,5,,,,,Paris,19,2015
84,Métro,CRETEIL PREFECTURE,4986457,8,,,,,Créteil,0,2015
64,Métro,LES SABLONS,5795500,1,,,,,Neuilly Sur Seine,0,2015
94,Métro,BASILIQUE DE SAINT DENIS,4782355,13,,,,,Saint Denis,0,2015
77,Métro,ALESIA,5124204,4,,,,,Paris,14,2015
180,Métro,PLACE MONGE,2995211,7,,,,,Paris,6,2015
17,Métro,ESPLANADE DE LA DEFENSE,10280556,1,,,,,Puteaux,0,2015
222,Métro,MAUBERT MUTUALITE,2362705,10,,,,,Paris,5,2015
259,Métro,PHILIPPE AUGUSTE,1854806,2,,,,,Paris,11,2015
101,Métro,GUY MOQUET,4577860,13,,,,,Paris,17,2015
4,Métro,MONTPARNASSE BIENVENUE,31229210,4,6,12,13,,Paris,14,2015
22,Métro,BARBES ROCHECHOUART,9174366,2,4,,,,Paris,18,2015
151,Métro,SENTIER,3509454,3,,,,,Paris,3,2015
29,Métro,SAINT MICHEL,8072295,4,,,,,Paris,5,2015
23,Métro,PORTE MAILLOT,8976380,1,,,,,Paris,16,2015
207,Métro,LIBERTE,2581261,8,,,,,Charenton,0,2015
36,Métro,AUBERVILLIERS PANTIN QUATRE CHEMINS,7131674,7,,,,,Aubervilliers,0,2015
100,Métro,PEREIRE,4643622,3,,,,,Paris,17,2015
240,Métro,SAINT JACQUES,2112450,6,,,,,Paris,13,2015
68,Métro,MAIRIE DE MONTROUGE,5757464,4,,,,,Montrouge,0,2015
123,Métro,ARTS ET METIERS,3908721,3,11,,,,Paris,3,2015
248,Métro,EXELMANS,2029772,9,,,,,Paris,16,2015
76,Métro,GABRIEL PERI,5235722,13,,,,,Asnières,0,2015
283,Métro,MIRABEAU,1371020,10,,,,,Paris,16,2015
205,Métro,CRETEIL POINTE DU LAC,2595126,8,,,,,Créteil,0,2015
5,Métro,GARE DE L'EST,20377794,4,5,7,,,Paris,10,2015
299,Métro,BOLIVAR,569990,7bis,,,,,Paris,19,2015
20,Métro,GARE D'AUSTERLITZ,9295236,5,10,,,,Paris,13,2015
246,Métro,BREGUET SABIN,2065295,5,,,,,Paris,11,2015
90,Métro,CHARLES MICHELS,4851393,10,,,,,Paris,15,2015
112,Métro,SAINT GERMAIN DES PRES,4271760,4,,,,,Paris,6,2015
251,Métro,JASMIN,2017822,9,,,,,Paris,16,2015
105,Métro,LAUMIERE,4422042,5,,,,,Paris,19,2015
131,Métro,ANATOLE FRANCE,3780611,3,,,,,Levallois Perret,0,2015
294,Métro,FALGUIERE,875978,12,,,,,Paris,15,2015
164,Métro,ECOLE VETERINAIRE DE MAISONS ALFORT,3251160,8,,,,,Maisons  Alfort,0,2015
162,Métro,FUNICULAIRE,3299668,2,,,,,Paris,18,2015
171,Métro,CHEVALERET,3105942,6,,,,,Paris,13,2015
173,Métro,RUE DE LA POMPE,3080833,9,,,,,Paris,16,2015
178,Métro,ETIENNE MARCEL,3033877,4,,,,,Paris,1,2015
201,Métro,NATIONALE,2666856,6,,,,,Paris,13,2015
189,Métro,SAINT AUGUSTIN,2921864,9,,,,,Paris,8,2015
204,Métro,RUE DES BOULETS,2598900,9,,,,,Paris,11,2015
253,Métro,MICHEL BIZOT,2015679,8,,,,,Paris,12,2015
298,Métro,DANUBE,636385,7bis,,,,,Paris,19,2015
194,Métro,JAVEL ANDRE CITROEN,2813391,10,,,,,Paris,15,2015
258,Métro,RICHARD LENOIR,1857473,5,,,,,Paris,11,2015
199,Métro,MARAICHERS,2726569,9,,,,,Paris,20,2015
210,Métro,FRONT POPULAIRE,2561027,12,,,,,Saint Denis / Aubervilliers,0,2015
128,Métro,PASSY,3826751,6,,,,,Paris,16,2015
238,Métro,EDGAR QUINET,2165227,6,,,,,Paris,14,2015
197,Métro,SAINT PHILIPPE DU ROULE,2775382,9,,,,,Paris,8,2015
279,Métro,CHEMIN VERT,1472562,8,,,,,Paris,11,2015
276,Métro,PONT MARIE,1623168,7,,,,,Paris,4,2015
257,Métro,PORTE D'IVRY,1865805,7,,,,,Paris,13,2015
7,Métro,LES HALLES,17384446,4,,,,,Paris,1,2015
27,Métro,PORTE DE CLIGNANCOURT,8471130,4,,,,,Paris,18,2015
34,Métro,GAMBETTA,7142788,3,3bis,,,,Paris,20,2015
47,Métro,LA CHAPELLE,6622224,2,,,,,Paris,9,2015
99,Métro,COLONEL FABIEN,4644115,2,,,,,Paris,10,2015
92,Métro,PERE LACHAISE,4824175,2,3,,,,Paris,20,2015
91,Métro,PASTEUR,4849120,6,12,,,,Paris,9,2015
135,Métro,PORTE DE SAINT OUEN,3739205,13,,,,,Paris,17,2015
122,Métro,OBERKAMPF,3978333,5,9,,,,Paris,11,2015
108,Métro,PORTE DE BAGNOLET,4390819,3,,,,,Paris,20,2015
193,Métro,NOTRE DAME DE LORETTE,2853470,12,,,,,Paris,9,2015
132,Métro,FORT D'AUBERVILLIERS,3766935,7,,,,,Aubervilliers,0,2015
291,Métro,ASSEMBLEE NATIONALE,1126803,12,,,,,Paris,7,2015
203,Métro,MALESHERBES,2604947,3,,,,,Paris,17,2015
32,Métro,CHAUSSEE D'ANTIN LA FAYETTE,7395270,7,9,,,,Paris,9,2015
215,Métro,RIQUET,2423268,7,,,,,Paris,19,2015
38,Métro,OLYMPIADES,6993593,14,,,,,Paris,13,2015
40,Métro,GRANDS BOULEVARDS,6921912,8,9,,,,Paris,9,2015
236,Métro,CITE,2180696,4,,,,,Paris,4,2015
63,Métro,MIROMESNIL,5884392,9,13,,,,Paris,8,2015
52,Métro,MARCADET POISSONNIERS,6434442,4,12,,,,Paris,18,2015
245,Métro,BOISSIERE,2069921,6,,,,,Paris,16,2015
72,Métro,DAUMESNIL,5379401,6,8,,,,Paris,12,2015
55,Métro,CONCORDE,6336283,1,8,12,,,Paris,8,2015
300,Métro,BUTTES CHAUMONT,448126,7bis,,,,,Paris,19,2015
110,Métro,LE KREMLIN BICETRE,4344822,7,,,,,Kremlin Bicêtre,0,2015
83,Métro,PYRAMIDES,5054993,7,14,,,,Paris,1,2015
115,Métro,ALMA MARCEAU,4204705,9,,,,,Paris,8,2015
153,Métro,CORENTIN CELTON,3447746,12,,,,,Issy Les Moulineaux,0,2015
301,Métro,PELLEPORT,363122,3bis,,,,,Paris,20,2015
214,Métro,CLUNY LA SORBONNE,2435070,10,,,,,Paris,5,2015
158,Métro,TOLBIAC,3371035,7,,,,,Paris,13,2015
275,Métro,PONT NEUF,1626784,7,,,,,Paris,4,2015
14,Métro,PLACE D'ITALIE,11631649,5,6,7,,,Paris,13,2015
278,Métro,VARENNE,1499399,13,,,,,Paris,7,2015
33,Métro,BOBIGNY PABLO PICASSO,7251717,5,,,,,Bobigny,0,2015
126,Métro,CHATEAU D'EAU,3893262,4,,,,,Paris,10,2015
11,Métro,CHATELET,13391819,1,4,7,11,14,Paris,1,2015
98,Métro,MAIRIE DES LILAS,4647162,11,,,,,Les Lilas,0,2015
143,Métro,EGLISE DE PANTIN,3597030,5,,,,,Pantin,0,2015
67,Métro,REUILLY DIDEROT,5778841,1,8,,,,Paris,12,2015
181,Métro,LAMARCK CAULAINCOURT,2993657,12,,,,,Paris,18,2015
160,Métro,QUAI DE LA GARE,3366477,6,,,,,Paris,13,2015
192,Métro,ROME,2863071,2,,,,,Paris,17,2015
196,Métro,LA FOURCHE,2786656,13,,,,,Paris,8,2015
145,Métro,CENSIER DAUBENTON,3575817,7,,,,,Paris,6,2015
198,Métro,PORTE DOREE,2770338,8,,,,,Paris,12,2015
211,Métro,WAGRAM,2547291,3,,,,,Paris,17,2015
169,Métro,FAIDHERBE CHALIGNY,3130250,8,,,,,Paris,12,2015
41,Métro,CHATEAU ROUGE,6799970,4,,,,,Paris,18,2015
177,Métro,PORTE DE LA CHAPELLE,3049825,12,,,,,Paris,18,2015
157,Métro,BOURSE,3371639,3,,,,,Paris,2,2015
182,Métro,BILLANCOURT,2992265,9,,,,,Boulogne Billancourt,0,2015
232,Métro,LE PELETIER,2258174,7,,,,,Paris,9,2015
184,Métro,COURONNES,2979584,2,,,,,Paris,11,2015
256,Métro,QUATRE SEPTEMBRE,1880560,3,,,,,Paris,2,2015
216,Métro,ABBESSES,2417881,12,,,,,Paris,18,2015
277,Métro,EUROPE,1557149,3,,,,,Paris,8,2015
230,Métro,SEVRES LECOURBE,2299402,6,,,,,Paris,15,2015
282,Métro,PIERRE CURIE,1457937,7,,,,,Ivry,0,2015
45,Métro,MAIRIE DE MONTREUIL,6642631,9,,,,,Montreuil,0,2015
25,Métro,CHARLES DE GAULLE ETOILE,8910878,1,2,6,,,Paris,8,2015
146,Métro,POISSONNIERE,3570452,7,,,,,Paris,10,2015
144,Métro,LOUISE MICHEL,3583779,3,,,,,Levallois Perret,0,2015
147,Métro,LES GOBELINS,3562482,7,,,,,Paris,13,2015
267,Métro,MOUTON DUVERNET,1755408,4,,,,,Paris,14,2015
152,Métro,GONCOURT,3464374,11,,,,,Paris,11,2015
295,Métro,SAINT FARGEAU,775725,3bis,,,,,Paris,8,2015
168,Métro,PERNETY,3189684,13,,,,,Paris,14,2015
303,Métro,EGLISE D'AUTEUIL,174893,10,,,,,Paris,16,2015
174,Métro,GAITE,3080750,13,,,,,Paris,14,2015
148,Métro,PORTE DE CHAMPERRET,3535763,3,,,,,Paris,17,2015
28,Métro,BIR HAKEIM,8366692,6,,,,,Paris,15,2015
226,Métro,RANELAGH,2346828,9,,,,,Paris,16,2015
61,Métro,ODEON,5926500,4,10,,,,Paris,6,2015
188,Métro,CARREFOUR PLEYEL,2933248,13,,,,,Saint Denis,0,2015
136,Métro,SAINT DENIS PORTE DE PARIS,3729178,13,,,,,Saint Denis,0,2015
183,Métro,CAMBRONNE,2986628,6,,,,,Paris,15,2015
219,Métro,DUGOMMIER,2405462,6,,,,,Paris,12,2015
229,Métro,LES AGNETTES,2325129,13,,,,,Asnières sur Seine,0,2015
113,Métro,MAIRIE D'ISSY,4254618,12,,,,,Issy Les Moulineaux,0,2015
293,Métro,VANEAU,960528,10,,,,,Paris,7,2015
114,Métro,RAMBUTEAU,4227507,11,,,,,Paris,3,2015
213,Métro,SAINT SULPICE,2441934,4,,,,,Paris,6,2015
59,Métro,SAINT MANDE TOURELLE,6006377,1,,,,,Saint Mandé,0,2015
249,Métro,MAISON BLANCHE,2028338,7,,,,,Paris,13,2015
74,Métro,PORTE DE SAINT CLOUD,5244402,9,,,,,Paris,16,2015
9,Métro,LA DEFENSE,15044588,1,,,,,Puteaux,0,2015
255,Métro,BUZENVAL,1906757,9,,,,,Paris,20,2015
78,Métro,CROIX DE CHAVAUX,5116243,9,,,,,Montreuil,0,2015
88,Métro,HOCHE,4896236,5,,,,,Pantin,0,2015
70,Métro,CONVENTION,5475951,12,,,,,Paris,15,2015
120,Métro,LES COURTILLES,4033364,13,,,,,Asnières sur Seine,0,2015
159,Métro,PYRENEES,3370640,11,,,,,Paris,20,2015
117,Métro,BLANCHE,4090091,2,,,,,Paris,9,2015
124,Métro,MAIRIE DE SAINT OUEN,3905486,13,,,,,Saint Ouen,0,2015
242,Métro,MICHEL ANGE AUTEUIL,2107124,9,10,,,,Paris,16,2015
121,Métro,CHARONNE,3979528,9,,,,,Paris,12,2015
12,Métro,HOTEL DE VILLE,12201851,1,11,,,,Paris,4,2015
250,Métro,PORTE DE CHARENTON,2025127,8,,,,,Paris,12,2015
149,Métro,CRETEIL UNIVERSITE,3530174,8,,,,,Créteil,0,2015
13,Métro,OPERA,11717705,3,7,8,,,Paris,9,2015
265,Métro,RASPAIL,1777217,4,6,,,,Paris,14,2015
167,Métro,BOUCICAUT,3190091,8,,,,,Paris,15,2015
54,Métro,SAINT PAUL,6421101,1,,,,,Paris,4,2015
223,Métro,TELEGRAPHE,2360717,11,,,,,Paris,20,2015
89,Métro,PLAISANCE,4874104,13,,,,,Paris,14,2015
297,Métro,CHARDON LAGACHE,640997,10,,,,,Paris,16,2015
103,Métro,PORTE DE VANVES,4527498,13,,,,,Paris,14,2015
50,Métro,INVALIDES,6583254,8,13,,,,Paris,7,2015
104,Métro,BALARD,4454198,8,,,,,Paris,15,2015
56,Métro,VILLIERS,6178884,2,3,,,,Paris,17,2015
200,Métro,COURCELLES,2719939,2,,,,,Paris,17,2015
57,Métro,GEORGE V,6127964,1,,,,,Paris,8,2015
79,Métro,VOLTAIRE,5113473,9,,,,,Paris,11,2015
130,Métro,VICTOR HUGO,3804427,2,,,,,Paris,16,2015
133,Métro,BOULOGNE JEAN JAURES,3757980,10,,,,,Boulogne Billancourt,0,2015
217,Métro,BOBIGNY PANTIN RAYMOND QUENEAU,2412852,5,,,,,Pantin,0,2015
44,Métro,VILLEJUIF LOUIS ARAGON,6661476,7,,,,,Villejuif,0,2015
48,Métro,CRIMEE,6613387,7,,,,,Paris,19,2015
58,Métro,GALLIENI,6075015,3,,,,,Bagnolet,0,2015
93,Métro,BONNE NOUVELLE,4799450,8,9,,,,Paris,10,2015
109,Métro,MENILMONTANT,4359246,2,,,,,Paris,11,2015
156,Métro,CADET,3408172,7,,,,,Paris,9,2015
287,Métro,RENNES,1241237,12,,,,,Paris,6,2015
119,Métro,PORTE DE CLICHY,4039039,13,,,,,Paris,17,2015
125,Métro,OURCQ,3903423,5,,,,,Paris,19,2015
187,Métro,SIMPLON,2957190,4,,,,,Paris,18,2015
191,Métro,PORTE DAUPHINE,2866342,2,,,,,Paris,16,2015
262,Métro,MAISONS ALFORT STADE,1807992,8,,,,,Maisons  Alfort,0,2015
195,Métro,SAINT AMBROISE,2791395,9,,,,,Paris,11,2015
266,Métro,MONTGALLET,1767323,8,,,,,Paris,12,2015
273,Métro,CARDINAL LEMOINE,1657283,10,,,,,Paris,5,2015
286,Métro,CAMPO FORMIO,1256651,5,,,,,Paris,13,2015
139,Métro,MALAKOFF PLATEAU DE VANVES,3693265,13,,,,,Malakoff,0,2015
228,Métro,CRETEIL L'ECHAT,2334535,8,,,,,Créteil,0,2015
234,Métro,TRINITE D'ESTIENNE D'ORVES,2236406,12,,,,,Paris,9,2015
6,Métro,REPUBLIQUE,18530849,3,5,8,9,11,Paris,11,2015
43,Métro,PORTE D'ORLEANS,6736894,4,,,,,Paris,14,2015
60,Métro,PORTE DE VERSAILLES,5938320,12,,,,,Paris,15,2015
85,Métro,PONT DE LEVALLOIS BECON,4969844,3,,,,,Levallois Perret,0,2015
170,Métro,PLACE DES FETES,3130045,7bis,11,,,,Paris,19,2015
176,Métro,PORTE DE CHOISY,3073748,7,,,,,Paris,13,2015
190,Métro,COMMERCE,2890759,8,,,,,Paris,15,2015
202,Métro,TUILERIES,2607243,1,,,,,Paris,1,2015
221,Métro,IENA,2374498,9,,,,,Paris,16,2015
227,Métro,SOLFERINO,2342976,12,,,,,Paris,7,2015
