date,NO,NO2,CO2,PM10,TEMP,HUMI,Month,Date,Saison
2018-01-24T23:00:00+01:00,22.541666666666668,35.625,511.4583333333333,60.75,19.066666666666666,54.92083333333333,January,2018-01-24,Winter
2018-01-25T23:00:00+01:00,31.708333333333332,51.666666666666664,523.9583333333334,66.0,18.712500000000002,51.762499999999996,January,2018-01-25,Winter
2018-01-26T23:00:00+01:00,37.666666666666664,51.208333333333336,526.7083333333334,74.79166666666667,18.016666666666666,44.5,January,2018-01-26,Winter
2018-01-27T23:00:00+01:00,53.958333333333336,61.333333333333336,490.375,37.833333333333336,17.054166666666667,43.73333333333333,January,2018-01-27,Winter
2018-01-28T23:00:00+01:00,23.041666666666668,43.583333333333336,461.6666666666667,20.208333333333332,17.133333333333333,50.69583333333333,January,2018-01-28,Winter
2018-01-29T23:00:00+01:00,21.833333333333332,42.833333333333336,517.7916666666666,63.0,18.266666666666666,52.00416666666666,January,2018-01-29,Winter
2018-01-30T23:00:00+01:00,31.875,45.0,519.4583333333334,66.33333333333333,18.633333333333333,51.28333333333333,January,2018-01-30,Winter
2018-01-31T23:00:00+01:00,18.75,44.208333333333336,512.5833333333334,74.95833333333333,18.275000000000002,50.65,January,2018-01-31,Winter
2018-02-01T23:00:00+01:00,34.416666666666664,57.416666666666664,505.25,85.16666666666667,16.816666666666666,37.65416666666667,February,2018-02-01,Winter
2018-02-02T23:00:00+01:00,37.416666666666664,53.833333333333336,505.4583333333333,86.04166666666667,16.587500000000002,38.65,February,2018-02-02,Winter
2018-02-03T23:00:00+01:00,41.25,56.375,494.9583333333333,27.625,16.070833333333333,40.891666666666666,February,2018-02-03,Winter
2018-02-04T23:00:00+01:00,18.25,40.166666666666664,452.3333333333333,20.916666666666668,15.012500000000001,38.420833333333334,February,2018-02-04,Winter
2018-02-05T23:00:00+01:00,37.833333333333336,36.75,425.0416666666667,67.875,11.341666666666667,30.691666666666666,February,2018-02-05,Winter
2018-02-06T23:00:00+01:00,37.375,41.833333333333336,516.9166666666666,85.20833333333333,13.733333333333334,41.204166666666666,February,2018-02-06,Winter
2018-02-07T23:00:00+01:00,21.916666666666668,48.708333333333336,496.75,73.20833333333333,12.612499999999999,39.079166666666666,February,2018-02-07,Winter
2018-02-08T23:00:00+01:00,75.0,63.541666666666664,564.5,89.41666666666667,12.733333333333334,35.42916666666667,February,2018-02-08,Winter
2018-02-09T23:00:00+01:00,50.208333333333336,61.916666666666664,563.5416666666666,71.91666666666667,12.566666666666668,38.516666666666666,February,2018-02-09,Winter
2018-02-10T23:00:00+01:00,32.375,64.66666666666667,506.375,37.166666666666664,13.625,39.24166666666667,February,2018-02-10,Winter
2018-02-11T23:00:00+01:00,11.625,46.333333333333336,488.9166666666667,20.583333333333332,14.741666666666667,46.229166666666664,February,2018-02-11,Winter
2018-02-12T23:00:00+01:00,38.208333333333336,57.041666666666664,536.625,79.875,14.0375,40.2125,February,2018-02-12,Winter
2018-02-13T23:00:00+01:00,32.5,58.083333333333336,526.1666666666666,67.83333333333333,13.745833333333332,37.358333333333334,February,2018-02-13,Winter
2018-02-14T23:00:00+01:00,38.25,51.875,521.9583333333334,57.791666666666664,13.549999999999999,45.458333333333336,February,2018-02-14,Winter
2018-02-15T23:00:00+01:00,45.041666666666664,47.375,570.2916666666666,84.70833333333333,15.795833333333334,57.04583333333333,February,2018-02-15,Winter
2018-02-16T23:00:00+01:00,53.041666666666664,66.95833333333333,524.2916666666666,99.66666666666667,16.533333333333335,42.362500000000004,February,2018-02-16,Winter
2018-02-17T23:00:00+01:00,20.5,54.583333333333336,468.7916666666667,37.875,16.095833333333335,38.233333333333334,February,2018-02-17,Winter
2018-02-18T23:00:00+01:00,90.91666666666667,71.375,500.2916666666667,44.291666666666664,15.5,40.87083333333333,February,2018-02-18,Winter
2018-02-19T23:00:00+01:00,64.91666666666667,56.5,491.7083333333333,46.25,14.616666666666667,44.44583333333333,February,2018-02-19,Winter
2018-02-20T23:00:00+01:00,32.75,55.208333333333336,488.375,49.333333333333336,15.216666666666667,47.35,February,2018-02-20,Winter
2018-02-21T23:00:00+01:00,28.875,53.291666666666664,491.5,69.625,14.716666666666667,36.324999999999996,February,2018-02-21,Winter
2018-02-22T23:00:00+01:00,24.041666666666668,54.083333333333336,457.625,71.45833333333333,13.916666666666666,31.683333333333334,February,2018-02-22,Winter
2018-02-23T23:00:00+01:00,17.458333333333332,54.833333333333336,419.75,50.833333333333336,13.4375,27.52916666666667,February,2018-02-23,Winter
2018-02-24T23:00:00+01:00,9.541666666666666,51.291666666666664,389.375,32.291666666666664,13.316666666666668,23.958333333333332,February,2018-02-24,Winter
2018-02-25T23:00:00+01:00,6.083333333333333,42.458333333333336,291.0,22.208333333333332,12.870833333333332,20.3875,February,2018-02-25,Winter
2018-02-26T23:00:00+01:00,12.75,50.25,356.0416666666667,40.875,11.591666666666667,19.904166666666665,February,2018-02-26,Winter
2018-02-27T23:00:00+01:00,21.625,54.333333333333336,479.6666666666667,44.541666666666664,10.583333333333334,23.71666666666667,February,2018-02-27,Winter
2018-02-28T23:00:00+01:00,18.0,59.083333333333336,491.5,51.041666666666664,10.033333333333333,18.595833333333335,February,2018-02-28,Winter
2018-03-01T23:00:00+01:00,15.75,50.625,527.7916666666666,67.25,10.691666666666668,31.75,March,2018-03-01,Winter
2018-03-02T23:00:00+01:00,47.75,58.041666666666664,555.125,72.5,12.875,39.1625,March,2018-03-02,Winter
2018-03-03T23:00:00+01:00,52.125,81.91666666666667,499.6666666666667,48.291666666666664,14.4,41.520833333333336,March,2018-03-03,Winter
2018-03-04T23:00:00+01:00,35.083333333333336,69.0,486.9166666666667,32.0,15.254166666666668,49.30833333333334,March,2018-03-04,Winter
2018-03-05T23:00:00+01:00,55.125,66.29166666666667,538.2083333333334,76.41666666666667,15.633333333333333,49.13333333333333,March,2018-03-05,Winter
2018-03-06T23:00:00+01:00,32.916666666666664,64.0,550.4166666666666,77.54166666666667,16.791666666666668,45.35,March,2018-03-06,Winter
2018-03-07T23:00:00+01:00,19.625,54.5,529.9166666666666,52.916666666666664,15.904166666666667,47.04583333333333,March,2018-03-07,Winter
2018-03-08T23:00:00+01:00,20.458333333333332,55.333333333333336,102.95833333333333,47.916666666666664,16.608333333333334,45.5625,March,2018-03-08,Winter
2018-03-09T23:00:00+01:00,81.75,69.625,480.3333333333333,64.75,17.466666666666665,49.1875,March,2018-03-09,Winter
2018-03-10T23:00:00+01:00,38.75,57.416666666666664,542.1666666666666,33.125,19.583333333333332,53.76666666666667,March,2018-03-10,Winter
2018-03-11T23:00:00+01:00,21.166666666666668,52.416666666666664,526.6666666666666,23.583333333333332,20.341666666666665,49.6625,March,2018-03-11,Winter
2018-03-12T23:00:00+01:00,12.208333333333334,43.083333333333336,542.75,80.08333333333333,19.587500000000002,44.00833333333333,March,2018-03-12,Winter
2018-03-13T23:00:00+01:00,21.458333333333332,48.208333333333336,529.6666666666666,90.66666666666667,18.304166666666667,44.12083333333334,March,2018-03-13,Winter
2018-03-14T23:00:00+01:00,39.916666666666664,64.33333333333333,515.2916666666666,59.375,17.216666666666665,41.94166666666667,March,2018-03-14,Winter
2018-03-15T23:00:00+01:00,23.791666666666668,56.458333333333336,391.2083333333333,70.625,17.741666666666667,48.38333333333333,March,2018-03-15,Winter
2018-03-16T23:00:00+01:00,24.166666666666668,58.333333333333336,0.0,75.54166666666667,17.629166666666666,47.512499999999996,March,2018-03-16,Winter
2018-03-17T23:00:00+01:00,39.375,64.5,0.0,34.333333333333336,16.454166666666666,43.96666666666667,March,2018-03-17,Winter
2018-03-18T23:00:00+01:00,12.916666666666666,41.708333333333336,0.0,23.041666666666668,12.924999999999999,37.541666666666664,March,2018-03-18,Winter
2018-03-19T23:00:00+01:00,24.958333333333332,58.333333333333336,0.0,83.41666666666667,12.029166666666667,39.958333333333336,March,2018-03-19,Winter
2018-03-20T23:00:00+01:00,20.5,62.041666666666664,0.0,70.41666666666667,12.725,33.800000000000004,March,2018-03-20,Winter
