Rang,Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement,Année
3,Métro,GARE DE LYON,36352115,1,14,A,,,Paris,12,2016
16,Métro,FRANKLIN D. ROOSEVELT,10899310,1,9,,,,Paris,8,2016
33,Métro,AUBERVILLIERS PANTIN QUATRE CHEMINS,7381123,7,,,,,Aubervilliers,0,2016
49,Métro,INVALIDES,6290697,8,13,,,,Paris,7,2016
78,Métro,SEVRES BABYLONE,5178469,10,12,,,,Paris,7,2016
72,Métro,REAUMUR SEBASTOPOL,5317006,3,4,,,,Paris,3,2016
86,Métro,BALARD,4994071,8,,,,,Paris,15,2016
108,Métro,LE KREMLIN BICETRE,4307422,7,,,,,Kremlin Bicêtre,0,2016
122,Métro,CHATEAU D'EAU,4010100,4,,,,,Paris,10,2016
131,Métro,PORTE DES LILAS,3803232,3bis,11,,,,Paris,20,2016
142,Métro,TERNES,3616052,2,,,,,Paris,17,2016
178,Métro,CHARENTON ECOLES,2979524,8,,,,,Charenton,0,2016
214,Métro,WAGRAM,2475539,3,,,,,Paris,17,2016
217,Métro,LOURMEL,2423494,8,,,,,Paris,15,2016
272,Métro,MONCEAU,1608558,2,,,,,Paris,17,2016
282,Métro,MIRABEAU,1366605,10,,,,,Paris,16,2016
302,Métro,PELLEPORT,352513,3bis,,,,,Paris,20,2016
46,Métro,PONT DE NEUILLY,6815851,1,,,,,Neuilly Sur Seine,0,2016
83,Métro,PYRAMIDES,5070872,7,14,,,,Paris,1,2016
128,Métro,LEDRU ROLLIN,3895615,8,,,,,Paris,12,2016
197,Métro,JAVEL ANDRE CITROEN,2745396,10,,,,,Paris,15,2016
246,Métro,MICHEL ANGE AUTEUIL,2096180,9,10,,,,Paris,16,2016
250,Métro,BOISSIERE,2070907,6,,,,,Paris,16,2016
257,Métro,AVRON,1925980,2,,,,,Paris,11,2016
259,Métro,MALAKOFF RUE ETIENNE DOLET,1871202,13,,,,,Malakoff,0,2016
296,Métro,PORTE D'AUTEUIL,671787,10,,,,,Paris,16,2016
303,Métro,EGLISE D'AUTEUIL,172812,10,,,,,Paris,16,2016
42,Métro,MADELEINE,6992609,8,12,14,,,Paris,8,2016
53,Métro,JAURES,6133119,2,5,7bis,,,Paris,19,2016
57,Métro,LA COURNEUVE 8 MAI 1945,6013067,7,,,,,La Courneuve,0,2016
8,Métro,LES HALLES,16128080,4,,,,,Paris,1,2016
