Rang,Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement,Année
11,Métro,HOTEL DE VILLE,12307363,1,11,,,,Paris,4,2019
17,Métro,ESPLANADE DE LA DEFENSE,9883008,1,,,,,Puteaux,0,2019
19,Métro,FRANKLIN D. ROOSEVELT,9545487,1,9,,,,Paris,8,2019
22,Métro,NATION,8834660,1,2,6,9,,Paris,12,2019
28,Métro,PLACE CLICHY,8020440,2,13,,,,Paris,17,2019
35,Métro,CHATEAU ROUGE,7306788,4,,,,,Paris,18,2019
37,Métro,AUBERVILLIERS PANTIN QUATRE CHEMINS,7215915,7,,,,,Aubervilliers,0,2019
40,Métro,BIR HAKEIM,6903648,6,,,,,Paris,15,2019
43,Métro,MAIRIE DE MONTROUGE,6849601,4,,,,,Montrouge,0,2019
60,Métro,COUR SAINT EMILION,6043808,14,,,,,Paris,12,2019
66,Métro,VILLIERS,5667552,2,3,,,,Paris,17,2019
80,Métro,SEVRES BABYLONE,5037509,10,12,,,,Paris,7,2019
81,Métro,RICHELIEU DROUOT,5014491,8,9,,,,Paris,9,2019
87,Métro,PLAISANCE,4784211,13,,,,,Paris,14,2019
6,Métro,BIBLIOTHEQUE,19754334,14,,,,,Paris,13,2019
88,Métro,SAINT DENIS UNIVERSITE,4770181,13,,,,,Saint Denis,0,2019
12,Métro,CHATELET,10766712,1,4,7,11,14,Paris,1,2019
91,Métro,CRETEIL PREFECTURE,4663191,8,,,,,Créteil,0,2019
15,Métro,OPERA,10501357,3,7,8,,,Paris,9,2019
94,Métro,BONNE NOUVELLE,4583027,8,9,,,,Paris,10,2019
18,Métro,PALAIS ROYAL,9592920,1,7,,,,Paris,1,2019
96,Métro,GLACIERE,4498939,6,,,,,Paris,13,2019
20,Métro,STRASBOURG SAINT DENIS,9524965,4,8,9,,,Paris,2,2019
97,Métro,PORTE DE CLICHY,4495978,13,,,,,Paris,17,2019
1,Métro,GARE DU NORD,51141374,4,5,,,,Paris,10,2019
24,Métro,PORTE DE CLIGNANCOURT,8393535,4,,,,,Paris,18,2019
100,Métro,PEREIRE,4446732,3,,,,,Paris,17,2019
2,Métro,SAINT LAZARE,46923920,3,9,12,13,14,Paris,8,2019
25,Métro,HAVRE CAUMARTIN,8277127,3,9,,,,Paris,9,2019
119,Métro,LA MUETTE,3991922,9,,,,,Paris,16,2019
3,Métro,GARE DE LYON,36512570,1,14,A,,,Paris,12,2019
36,Métro,CHARLES DE GAULLE ETOILE,7296559,1,2,6,,,Paris,8,2019
120,Métro,MENILMONTANT,3943809,2,,,,,Paris,11,2019
8,Métro,LA DEFENSE,16213921,1,,,,,Puteaux,0,2019
42,Métro,STALINGRAD,6891050,2,5,7,,,Paris,19,2019
123,Métro,FORT D'AUBERVILLIERS,3889085,7,,,,,Aubervilliers,0,2019
13,Métro,BELLEVILLE,10735544,2,11,,,,Paris,10,2019
48,Métro,LA CHAPELLE,6534340,2,,,,,Paris,9,2019
126,Métro,SAINT GERMAIN DES PRES,3866889,4,,,,,Paris,6,2019
16,Métro,GARE D'AUSTERLITZ,9887549,5,10,,,,Paris,13,2019
53,Métro,LES SABLONS,6314665,1,,,,,Neuilly Sur Seine,0,2019
127,Métro,EGLISE DE PANTIN,3843796,5,,,,,Pantin,0,2019
23,Métro,MADELEINE,8473016,8,12,14,,,Paris,8,2019
55,Métro,SAINT MICHEL,6286034,4,,,,,Paris,5,2019
128,Métro,VICTOR HUGO,3841033,2,,,,,Paris,16,2019
27,Métro,MAIRIE DE MONTREUIL,8106589,9,,,,,Montreuil,0,2019
56,Métro,PORTE D'ORLEANS,6259225,4,,,,,Paris,14,2019
138,Métro,ANATOLE FRANCE,3533091,3,,,,,Levallois Perret,0,2019
38,Métro,VILLEJUIF LOUIS ARAGON,7198931,7,,,,,Villejuif,0,2019
57,Métro,SAINT MANDE TOURELLE,6245865,1,,,,,Saint Mandé,0,2019
