Rang,Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement,Année
29,Métro,CHARLES DE GAULLE ETOILE,8181646,1,2,6,,,Paris,8,2018
70,Métro,GALLIENI,5841623,3,,,,,Bagnolet,0,2018
87,Métro,HOCHE,5185130,5,,,,,Pantin,0,2018
128,Métro,CHAMPS ELYSEES CLEMENCEAU,4113353,1,13,,,,Paris,8,2018
106,Métro,ECOLE MILITAIRE,4638136,8,,,,,Paris,7,2018
247,Métro,RICHARD LENOIR,2172035,5,,,,,Paris,11,2018
289,Métro,SAINT GEORGES,1258381,12,,,,,Paris,9,2018
285,Métro,CAMPO FORMIO,1369978,5,,,,,Paris,13,2018
282,Métro,MIRABEAU,1422224,10,,,,,Paris,16,2018
187,Métro,ROME,2992054,2,,,,,Paris,17,2018
135,Métro,BOULOGNE JEAN JAURES,3963135,10,,,,,Boulogne Billancourt,0,2018
144,Métro,GARIBALDI,3692242,13,,,,,Saint Ouen,0,2018
301,Métro,PRE SAINT GERVAIS,389255,7bis,,,,,Paris,19,2018
275,Métro,MOUTON DUVERNET,1645671,4,,,,,Paris,14,2018
302,Métro,PELLEPORT,371005,3bis,,,,,Paris,20,2018
83,Métro,PYRAMIDES,5277037,7,14,,,,Paris,1,2018
131,Métro,RAMBUTEAU,4074086,11,,,,,Paris,3,2018
201,Métro,CORVISART,2819792,6,,,,,Paris,13,2018
194,Métro,ARGENTINE,2932605,1,,,,,Paris,17,2018
50,Métro,PORTE D'ORLEANS,6669356,4,,,,,Paris,14,2018
48,Métro,SAINT MICHEL,6713126,4,,,,,Paris,5,2018
47,Métro,LA CHAPELLE,6976673,2,,,,,Paris,9,2018
18,Métro,ESPLANADE DE LA DEFENSE,10255121,1,,,,,Puteaux,0,2018
75,Métro,GABRIEL PERI,5405121,13,,,,,Asnières,0,2018
5,Métro,GARE DE L'EST,21432041,4,5,7,,,Paris,10,2018
38,Métro,STALINGRAD,7342659,2,5,7,,,Paris,19,2018
15,Métro,OPERA,11175606,3,7,8,,,Paris,9,2018
21,Métro,BARBES ROCHECHOUART,9337425,2,4,,,,Paris,18,2018
188,Métro,PLACE DES FETES,2987172,7bis,11,,,,Paris,19,2018
184,Métro,COURONNES,3036984,2,,,,,Paris,11,2018
157,Métro,TOLBIAC,3451768,7,,,,,Paris,13,2018
166,Métro,MAIRIE D'IVRY,3351677,7,,,,,Ivry,0,2018
249,Métro,NOTRE DAME DES CHAMPS,2146424,12,,,,,Paris,6,2018
215,Métro,WAGRAM,2565333,3,,,,,Paris,17,2018
156,Métro,JOURDAIN,3467807,11,,,,,Paris,20,2018
110,Métro,LAUMIERE,4556699,5,,,,,Paris,19,2018
153,Métro,ECOLE VETERINAIRE DE MAISONS ALFORT,3520624,8,,,,,Maisons  Alfort,0,2018
120,Métro,LES COURTILLES,4233814,13,,,,,Asnières sur Seine,0,2018
288,Métro,QUAI DE LA RAPEE,1273466,5,,,,,Paris,12,2018
280,Métro,CHEMIN VERT,1524831,8,,,,,Paris,11,2018
19,Métro,PALAIS ROYAL,9648312,1,7,,,,Paris,1,2018
20,Métro,TROCADERO,9381362,6,9,,,,Paris,16,2018
117,Métro,MENILMONTANT,4359581,2,,,,,Paris,11,2018
86,Métro,VOLTAIRE,5195333,9,,,,,Paris,11,2018
122,Métro,CHARONNE,4174673,9,,,,,Paris,12,2018
94,Métro,BASILIQUE DE SAINT DENIS,4894705,13,,,,,Saint Denis,0,2018
102,Métro,ROBESPIERRE,4702422,9,,,,,Montreuil,0,2018
236,Métro,VOLONTAIRES,2342480,12,,,,,Paris,15,2018
254,Métro,BUZENVAL,2071421,9,,,,,Paris,20,2018
242,Métro,CITE,2237552,4,,,,,Paris,4,2018
237,Métro,CRETEIL L'ECHAT,2328225,8,,,,,Créteil,0,2018
59,Métro,JAURES,6261040,2,5,7bis,,,Paris,19,2018
63,Métro,REUILLY DIDEROT,6037085,1,8,,,,Paris,12,2018
40,Métro,PORTE DE VINCENNES,7164764,1,,,,,Paris,12,2018
33,Métro,AUBERVILLIERS PANTIN QUATRE CHEMINS,7785492,7,,,,,Aubervilliers,0,2018
145,Métro,ALEXANDRE DUMAS,3668682,2,,,,,Paris,11,2018
165,Métro,PYRENEES,3354023,11,,,,,Paris,20,2018
138,Métro,LOUISE MICHEL,3807962,3,,,,,Levallois Perret,0,2018
152,Métro,CRETEIL UNIVERSITE,3558391,8,,,,,Créteil,0,2018
227,Métro,SEVRES LECOURBE,2431794,6,,,,,Paris,15,2018
213,Métro,LOUVRE,2617507,1,,,,,Paris,1,2018
264,Métro,FELIX FAURE,1865477,8,,,,,Paris,15,2018
257,Métro,AVRON,2038056,2,,,,,Paris,11,2018
