Date,Year,Gare,Attribute,Value
2013-04-19,2013,Chatelet,NO,26.083333333333332
2013-04-20,2013,Chatelet,NO,8.291666666666666
2013-04-21,2013,Chatelet,NO,8.416666666666666
2013-04-22,2013,Chatelet,NO,24.5
2013-04-23,2013,Chatelet,NO,41.458333333333336
2013-04-24,2013,Chatelet,NO,67.58333333333333
2013-04-25,2013,Chatelet,NO,37.291666666666664
2013-04-26,2013,Chatelet,NO,64.125
2013-04-27,2013,Chatelet,NO,8.125
2013-04-28,2013,Chatelet,NO,7.875
2013-04-29,2013,Chatelet,NO,24.708333333333332
2013-04-30,2013,Chatelet,NO,14.208333333333334
2013-05-01,2013,Chatelet,NO,10.416666666666666
2013-05-02,2013,Chatelet,NO,49.083333333333336
2013-05-03,2013,Chatelet,NO,32.25
2013-05-04,2013,Chatelet,NO,21.291666666666668
2013-05-05,2013,Chatelet,NO,7.208333333333333
2013-05-06,2013,Chatelet,NO,44.125
2013-05-07,2013,Chatelet,NO,19.625
2013-05-08,2013,Chatelet,NO,16.0
2013-05-09,2013,Chatelet,NO,8.625
2013-05-10,2013,Chatelet,NO,16.5
2013-05-11,2013,Chatelet,NO,18.375
2013-05-12,2013,Chatelet,NO,9.875
2013-05-13,2013,Chatelet,NO,27.875
2013-05-14,2013,Chatelet,NO,20.458333333333332
2013-05-15,2013,Chatelet,NO,19.291666666666668
2013-05-16,2013,Chatelet,NO,25.541666666666668
2013-05-17,2013,Chatelet,NO,17.708333333333332
2013-05-18,2013,Chatelet,NO,6.666666666666667
2013-05-19,2013,Chatelet,NO,11.166666666666666
2013-05-20,2013,Chatelet,NO,22.541666666666668
2013-05-21,2013,Chatelet,NO,30.125
2013-05-22,2013,Chatelet,NO,23.083333333333332
2013-05-23,2013,Chatelet,NO,26.375
2013-05-24,2013,Chatelet,NO,45.083333333333336
2013-05-25,2013,Chatelet,NO,14.75
2013-05-26,2013,Chatelet,NO,6.958333333333333
2013-05-27,2013,Chatelet,NO,30.5
2013-05-28,2013,Chatelet,NO,32.333333333333336
2013-05-29,2013,Chatelet,NO,40.291666666666664
2013-05-30,2013,Chatelet,NO,48.416666666666664
2013-05-31,2013,Chatelet,NO,27.666666666666668
2013-06-01,2013,Chatelet,NO,17.333333333333332
2013-06-02,2013,Chatelet,NO,4.416666666666667
2013-06-03,2013,Chatelet,NO,13.958333333333334
2013-06-04,2013,Chatelet,NO,21.625
2013-06-05,2013,Chatelet,NO,30.291666666666668
2013-06-06,2013,Chatelet,NO,22.041666666666668
2013-06-07,2013,Chatelet,NO,22.583333333333332
2013-06-08,2013,Chatelet,NO,8.125
2013-06-09,2013,Chatelet,NO,14.875
2013-06-10,2013,Chatelet,NO,25.958333333333332
2013-06-11,2013,Chatelet,NO,25.5
2013-06-12,2013,Chatelet,NO,45.041666666666664
2013-06-13,2013,Chatelet,NO,46.5
2013-06-14,2013,Chatelet,NO,39.333333333333336
2013-06-15,2013,Chatelet,NO,19.458333333333332
2013-06-16,2013,Chatelet,NO,7.083333333333333
2013-06-17,2013,Chatelet,NO,44.875
2013-06-18,2013,Chatelet,NO,42.833333333333336
2013-06-19,2013,Chatelet,NO,21.458333333333332
2013-06-20,2013,Chatelet,NO,40.416666666666664
2013-06-21,2013,Chatelet,NO,36.166666666666664
2013-06-22,2013,Chatelet,NO,15.833333333333334
2013-06-23,2013,Chatelet,NO,10.166666666666666
2013-06-24,2013,Chatelet,NO,24.833333333333332
2013-06-25,2013,Chatelet,NO,23.041666666666668
2013-06-26,2013,Chatelet,NO,20.0
2013-06-27,2013,Chatelet,NO,23.041666666666668
2013-06-28,2013,Chatelet,NO,38.916666666666664
2013-06-29,2013,Chatelet,NO,18.583333333333332
2013-06-30,2013,Chatelet,NO,12.25
2013-07-01,2013,Chatelet,NO,35.541666666666664
2013-07-02,2013,Chatelet,NO,35.166666666666664
2013-07-03,2013,Chatelet,NO,36.75
2013-07-04,2013,Chatelet,NO,40.833333333333336
2013-07-05,2013,Chatelet,NO,26.0
2013-07-06,2013,Chatelet,NO,8.625
2013-07-07,2013,Chatelet,NO,9.208333333333334
2013-07-08,2013,Chatelet,NO,8.958333333333334
2013-07-09,2013,Chatelet,NO,10.208333333333334
2013-07-10,2013,Chatelet,NO,13.291666666666666
2013-07-11,2013,Chatelet,NO,7.291666666666667
2013-07-12,2013,Chatelet,NO,11.208333333333334
2013-07-13,2013,Chatelet,NO,5.666666666666667
2013-07-14,2013,Chatelet,NO,5.166666666666667
2013-07-15,2013,Chatelet,NO,13.625
2013-07-16,2013,Chatelet,NO,14.708333333333334
2013-07-17,2013,Chatelet,NO,10.416666666666666
2013-07-18,2013,Chatelet,NO,10.333333333333334
2013-07-19,2013,Chatelet,NO,13.416666666666666
2013-07-20,2013,Chatelet,NO,5.208333333333333
2013-07-21,2013,Chatelet,NO,4.458333333333333
2013-07-22,2013,Chatelet,NO,18.291666666666668
2013-07-23,2013,Chatelet,NO,16.666666666666668
2013-07-24,2013,Chatelet,NO,16.25
2013-07-25,2013,Chatelet,NO,27.166666666666668
2013-07-26,2013,Chatelet,NO,20.625
2013-07-27,2013,Chatelet,NO,8.375
2013-07-28,2013,Chatelet,NO,6.666666666666667
2013-07-29,2013,Chatelet,NO,18.041666666666668
2013-07-30,2013,Chatelet,NO,16.541666666666668
2013-07-31,2013,Chatelet,NO,21.875
2013-08-01,2013,Chatelet,NO,23.916666666666668
2013-08-02,2013,Chatelet,NO,31.666666666666668
2013-08-03,2013,Chatelet,NO,8.375
2013-08-04,2013,Chatelet,NO,4.958333333333333
2013-08-05,2013,Chatelet,NO,23.166666666666668
2013-08-06,2013,Chatelet,NO,13.25
2013-08-07,2013,Chatelet,NO,11.125
2013-08-08,2013,Chatelet,NO,8.958333333333334
2013-08-09,2013,Chatelet,NO,20.291666666666668
2013-08-10,2013,Chatelet,NO,11.166666666666666
2013-08-11,2013,Chatelet,NO,6.541666666666667
2013-08-12,2013,Chatelet,NO,9.041666666666666
2013-08-13,2013,Chatelet,NO,9.75
2013-08-14,2013,Chatelet,NO,15.541666666666666
2013-08-15,2013,Chatelet,NO,9.708333333333334
2013-08-16,2013,Chatelet,NO,22.333333333333332
2013-08-17,2013,Chatelet,NO,9.916666666666666
2013-08-18,2013,Chatelet,NO,7.583333333333333
2013-08-19,2013,Chatelet,NO,15.875
2013-08-20,2013,Chatelet,NO,14.916666666666666
2013-08-21,2013,Chatelet,NO,14.916666666666666
2013-08-22,2013,Chatelet,NO,12.583333333333334
2013-08-23,2013,Chatelet,NO,11.416666666666666
2013-08-24,2013,Chatelet,NO,9.333333333333334
2013-08-25,2013,Chatelet,NO,14.375
2013-08-26,2013,Chatelet,NO,16.666666666666668
2013-08-27,2013,Chatelet,NO,11.458333333333334
2013-08-28,2013,Chatelet,NO,11.625
2013-08-29,2013,Chatelet,NO,13.791666666666666
2013-08-30,2013,Chatelet,NO,14.083333333333334
2013-08-31,2013,Chatelet,NO,11.916666666666666
2013-09-01,2013,Chatelet,NO,7.125
2013-09-02,2013,Chatelet,NO,24.25
2013-09-03,2013,Chatelet,NO,19.583333333333332
2013-09-04,2013,Chatelet,NO,34.541666666666664
2013-09-05,2013,Chatelet,NO,52.75
2013-09-06,2013,Chatelet,NO,19.708333333333332
2013-09-07,2013,Chatelet,NO,28.041666666666668
2013-09-08,2013,Chatelet,NO,7.083333333333333
2013-09-09,2013,Chatelet,NO,35.291666666666664
2013-09-10,2013,Chatelet,NO,22.166666666666668
