Date,Year,Gare,Attribute,Value
2013-03-31,2013,Franklin D Roosevelt,NO,17.0
2013-04-01,2013,Franklin D Roosevelt,NO,17.0
2013-04-02,2013,Franklin D Roosevelt,NO,17.0
2013-04-03,2013,Franklin D Roosevelt,NO,17.0
2013-04-04,2013,Franklin D Roosevelt,NO,17.0
2013-04-05,2013,Franklin D Roosevelt,NO,21.583333333333332
2013-04-06,2013,Franklin D Roosevelt,NO,13.333333333333334
2013-04-07,2013,Franklin D Roosevelt,NO,14.166666666666666
2013-04-08,2013,Franklin D Roosevelt,NO,45.875
2013-04-09,2013,Franklin D Roosevelt,NO,38.458333333333336
2013-04-10,2013,Franklin D Roosevelt,NO,31.416666666666668
2013-04-11,2013,Franklin D Roosevelt,NO,38.166666666666664
2013-04-12,2013,Franklin D Roosevelt,NO,17.0
2013-04-13,2013,Franklin D Roosevelt,NO,17.0
2013-04-14,2013,Franklin D Roosevelt,NO,17.0
2013-04-15,2013,Franklin D Roosevelt,NO,17.0
2013-04-16,2013,Franklin D Roosevelt,NO,17.0
2013-04-17,2013,Franklin D Roosevelt,NO,17.0
2013-04-18,2013,Franklin D Roosevelt,NO,17.0
2013-04-19,2013,Franklin D Roosevelt,NO,17.0
2013-04-20,2013,Franklin D Roosevelt,NO,17.0
2013-04-21,2013,Franklin D Roosevelt,NO,17.0
2013-04-22,2013,Franklin D Roosevelt,NO,17.0
2013-04-23,2013,Franklin D Roosevelt,NO,17.0
2013-04-24,2013,Franklin D Roosevelt,NO,17.0
2013-04-25,2013,Franklin D Roosevelt,NO,46.0
2013-04-26,2013,Franklin D Roosevelt,NO,77.33333333333333
2013-04-27,2013,Franklin D Roosevelt,NO,9.333333333333334
2013-04-28,2013,Franklin D Roosevelt,NO,15.666666666666666
2013-04-29,2013,Franklin D Roosevelt,NO,35.291666666666664
2013-04-30,2013,Franklin D Roosevelt,NO,23.791666666666668
2013-05-01,2013,Franklin D Roosevelt,NO,22.708333333333332
2013-05-02,2013,Franklin D Roosevelt,NO,48.541666666666664
2013-05-03,2013,Franklin D Roosevelt,NO,15.708333333333334
2013-05-04,2013,Franklin D Roosevelt,NO,17.0
2013-05-05,2013,Franklin D Roosevelt,NO,17.0
2013-05-06,2013,Franklin D Roosevelt,NO,17.0
2013-05-07,2013,Franklin D Roosevelt,NO,17.0
2013-05-08,2013,Franklin D Roosevelt,NO,17.0
2013-05-09,2013,Franklin D Roosevelt,NO,17.0
2013-05-10,2013,Franklin D Roosevelt,NO,17.0
2013-05-11,2013,Franklin D Roosevelt,NO,17.0
2013-05-12,2013,Franklin D Roosevelt,NO,17.0
2013-05-13,2013,Franklin D Roosevelt,NO,17.0
2013-05-14,2013,Franklin D Roosevelt,NO,17.0
2013-05-15,2013,Franklin D Roosevelt,NO,17.0
2013-05-16,2013,Franklin D Roosevelt,NO,29.166666666666668
2013-05-17,2013,Franklin D Roosevelt,NO,38.083333333333336
2013-05-18,2013,Franklin D Roosevelt,NO,13.666666666666666
2013-05-19,2013,Franklin D Roosevelt,NO,27.375
2013-05-20,2013,Franklin D Roosevelt,NO,29.416666666666668
2013-05-21,2013,Franklin D Roosevelt,NO,36.916666666666664
2013-05-22,2013,Franklin D Roosevelt,NO,17.291666666666668
2013-05-23,2013,Franklin D Roosevelt,NO,29.208333333333332
2013-05-24,2013,Franklin D Roosevelt,NO,63.125
2013-05-25,2013,Franklin D Roosevelt,NO,13.875
2013-05-26,2013,Franklin D Roosevelt,NO,13.458333333333334
2013-05-27,2013,Franklin D Roosevelt,NO,60.791666666666664
2013-05-28,2013,Franklin D Roosevelt,NO,50.875
2013-05-29,2013,Franklin D Roosevelt,NO,51.416666666666664
2013-05-30,2013,Franklin D Roosevelt,NO,45.041666666666664
2013-05-31,2013,Franklin D Roosevelt,NO,24.333333333333332
2013-06-01,2013,Franklin D Roosevelt,NO,12.166666666666666
2013-06-02,2013,Franklin D Roosevelt,NO,7.583333333333333
2013-06-03,2013,Franklin D Roosevelt,NO,18.875
2013-06-04,2013,Franklin D Roosevelt,NO,21.833333333333332
2013-06-05,2013,Franklin D Roosevelt,NO,22.166666666666668
2013-06-06,2013,Franklin D Roosevelt,NO,27.125
2013-06-07,2013,Franklin D Roosevelt,NO,25.666666666666668
2013-06-08,2013,Franklin D Roosevelt,NO,9.875
2013-06-09,2013,Franklin D Roosevelt,NO,13.25
2013-06-10,2013,Franklin D Roosevelt,NO,26.416666666666668
2013-06-11,2013,Franklin D Roosevelt,NO,33.75
2013-06-12,2013,Franklin D Roosevelt,NO,52.916666666666664
2013-06-13,2013,Franklin D Roosevelt,NO,57.125
2013-06-14,2013,Franklin D Roosevelt,NO,57.083333333333336
2013-06-15,2013,Franklin D Roosevelt,NO,27.583333333333332
2013-06-16,2013,Franklin D Roosevelt,NO,20.958333333333332
2013-06-17,2013,Franklin D Roosevelt,NO,29.375
2013-06-18,2013,Franklin D Roosevelt,NO,17.0
2013-06-19,2013,Franklin D Roosevelt,NO,17.0
2013-06-20,2013,Franklin D Roosevelt,NO,17.0
2013-06-21,2013,Franklin D Roosevelt,NO,17.0
2013-06-22,2013,Franklin D Roosevelt,NO,17.0
2013-06-23,2013,Franklin D Roosevelt,NO,17.0
2013-06-24,2013,Franklin D Roosevelt,NO,17.0
2013-06-25,2013,Franklin D Roosevelt,NO,17.0
2013-06-26,2013,Franklin D Roosevelt,NO,17.0
2013-06-27,2013,Franklin D Roosevelt,NO,17.0
2013-06-28,2013,Franklin D Roosevelt,NO,17.0
2013-06-29,2013,Franklin D Roosevelt,NO,17.0
2013-06-30,2013,Franklin D Roosevelt,NO,17.0
2013-07-01,2013,Franklin D Roosevelt,NO,17.0
2013-07-02,2013,Franklin D Roosevelt,NO,17.0
2013-07-03,2013,Franklin D Roosevelt,NO,17.0
2013-07-04,2013,Franklin D Roosevelt,NO,17.0
2013-07-05,2013,Franklin D Roosevelt,NO,17.0
2013-07-06,2013,Franklin D Roosevelt,NO,17.0
2013-07-07,2013,Franklin D Roosevelt,NO,17.0
2013-07-08,2013,Franklin D Roosevelt,NO,17.0
2013-07-09,2013,Franklin D Roosevelt,NO,17.0
2013-07-10,2013,Franklin D Roosevelt,NO,17.0
2013-07-11,2013,Franklin D Roosevelt,NO,17.0
2013-07-12,2013,Franklin D Roosevelt,NO,17.0
2013-07-13,2013,Franklin D Roosevelt,NO,17.0
2013-07-14,2013,Franklin D Roosevelt,NO,17.0
2013-07-15,2013,Franklin D Roosevelt,NO,17.0
2013-07-16,2013,Franklin D Roosevelt,NO,17.0
2013-07-17,2013,Franklin D Roosevelt,NO,17.0
2013-07-18,2013,Franklin D Roosevelt,NO,17.0
2013-07-19,2013,Franklin D Roosevelt,NO,15.291666666666666
2013-07-20,2013,Franklin D Roosevelt,NO,12.541666666666666
2013-07-21,2013,Franklin D Roosevelt,NO,6.541666666666667
2013-07-22,2013,Franklin D Roosevelt,NO,23.291666666666668
2013-07-23,2013,Franklin D Roosevelt,NO,23.833333333333332
2013-07-24,2013,Franklin D Roosevelt,NO,30.708333333333332
2013-07-25,2013,Franklin D Roosevelt,NO,65.54166666666667
2013-07-26,2013,Franklin D Roosevelt,NO,59.458333333333336
2013-07-27,2013,Franklin D Roosevelt,NO,19.041666666666668
2013-07-28,2013,Franklin D Roosevelt,NO,24.291666666666668
2013-07-29,2013,Franklin D Roosevelt,NO,40.708333333333336
2013-07-30,2013,Franklin D Roosevelt,NO,45.541666666666664
2013-07-31,2013,Franklin D Roosevelt,NO,51.833333333333336
2013-08-01,2013,Franklin D Roosevelt,NO,51.833333333333336
2013-08-02,2013,Franklin D Roosevelt,NO,43.333333333333336
2013-08-03,2013,Franklin D Roosevelt,NO,17.0
2013-08-04,2013,Franklin D Roosevelt,NO,17.0
2013-08-05,2013,Franklin D Roosevelt,NO,17.0
2013-08-06,2013,Franklin D Roosevelt,NO,17.0
2013-08-07,2013,Franklin D Roosevelt,NO,17.0
2013-08-08,2013,Franklin D Roosevelt,NO,17.0
2013-08-09,2013,Franklin D Roosevelt,NO,17.0
2013-08-10,2013,Franklin D Roosevelt,NO,17.0
2013-08-11,2013,Franklin D Roosevelt,NO,17.0
2013-08-12,2013,Franklin D Roosevelt,NO,19.708333333333332
2013-08-13,2013,Franklin D Roosevelt,NO,26.166666666666668
2013-08-14,2013,Franklin D Roosevelt,NO,30.458333333333332
2013-08-15,2013,Franklin D Roosevelt,NO,22.708333333333332
2013-08-16,2013,Franklin D Roosevelt,NO,47.25
2013-08-17,2013,Franklin D Roosevelt,NO,28.333333333333332
2013-08-18,2013,Franklin D Roosevelt,NO,27.041666666666668
2013-08-19,2013,Franklin D Roosevelt,NO,26.041666666666668
2013-08-20,2013,Franklin D Roosevelt,NO,29.583333333333332
2013-08-21,2013,Franklin D Roosevelt,NO,31.916666666666668
2013-08-22,2013,Franklin D Roosevelt,NO,10.958333333333334
2013-08-23,2013,Franklin D Roosevelt,NO,22.208333333333332
2013-08-24,2013,Franklin D Roosevelt,NO,18.958333333333332
2013-08-25,2013,Franklin D Roosevelt,NO,37.291666666666664
2013-08-26,2013,Franklin D Roosevelt,NO,31.666666666666668
2013-08-27,2013,Franklin D Roosevelt,NO,17.708333333333332
2013-08-28,2013,Franklin D Roosevelt,NO,18.375
2013-08-29,2013,Franklin D Roosevelt,NO,25.25
2013-08-30,2013,Franklin D Roosevelt,NO,27.083333333333332
2013-08-31,2013,Franklin D Roosevelt,NO,27.875
2013-09-01,2013,Franklin D Roosevelt,NO,7.708333333333333
2013-09-02,2013,Franklin D Roosevelt,NO,44.666666666666664
2013-09-03,2013,Franklin D Roosevelt,NO,49.0
2013-09-04,2013,Franklin D Roosevelt,NO,76.41666666666667
2013-09-05,2013,Franklin D Roosevelt,NO,115.95833333333333
2013-09-06,2013,Franklin D Roosevelt,NO,37.125
2013-09-07,2013,Franklin D Roosevelt,NO,37.208333333333336
2013-09-08,2013,Franklin D Roosevelt,NO,32.708333333333336
2013-09-09,2013,Franklin D Roosevelt,NO,59.5
2013-09-10,2013,Franklin D Roosevelt,NO,41.958333333333336
2013-09-11,2013,Franklin D Roosevelt,NO,52.041666666666664
2013-09-12,2013,Franklin D Roosevelt,NO,64.83333333333333
2013-09-13,2013,Franklin D Roosevelt,NO,88.125
2013-09-14,2013,Franklin D Roosevelt,NO,28.833333333333332
2013-09-15,2013,Franklin D Roosevelt,NO,20.333333333333332
